Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
24118,-13500,-27000,-27000,-20647,-27000,-27000,-27000,-7009,-27000,17181,-25200,-27000,-27000,-27000,-27000,-17000,-27000,0
24119,0,-27000,-27000,-17470,-27000,27000,-9000,-14322,-27000,7363,-9000,-13500,-27000,-27000,-27000,-20210,-5400,0
24120,0,-27000,-27000,-23823,-9000,-27000,-27000,-26878,27000,-22090,-18000,-13500,-27000,-27000,-27000,-18900,-16200,0
24122,13500,-27000,-11571,-20647,-27000,-27000,-18000,-26756,27000,-22090,-18000,-13500,-27000,-27000,-27000,-14000,-5400,0
24123,0,-27000,-19285,-23823,-27000,-27000,-18000,-22733,-27000,17181,1800,-13500,-27000,-27000,-27000,-15615,-16200,0
24124,-13500,-27000,-27000,-20647,9000,-27000,-27000,-18589,-27000,12272,10800,-27000,-27000,-27000,-27000,-18700,-27000,0
24125,0,-27000,-19285,-20647,-27000,-27000,-27000,-23221,27000,12272,0,-27000,-27000,-27000,-27000,-19500,-27000,0
24126,0,-27000,-27000,-23823,-9000,-27000,-27000,-24927,27000,-22090,16200,-13500,-27000,-27000,-27000,-18900,-27000,0
24127,-13500,-27000,-19285,-23823,-27000,-27000,-27000,-7618,27000,-12272,-12600,-27000,-27000,-27000,-27000,-20500,-16200,0
24128,0,-27000,-19285,-20647,-27000,-27000,-27000,-14566,27000,7363,5400,-13500,-27000,-27000,-27000,-15030,-5400,0
24129,13500,-27000,-19285,-17470,-27000,-27000,-27000,-26390,27000,-27000,21600,-13500,-27000,-27000,-27000,-14000,-27000,0
24131,0,-27000,-27000,-17470,-27000,-27000,-27000,-24562,27000,-17181,-12600,-27000,-27000,-27000,-27000,-19000,-27000,0
24132,-13500,-27000,-27000,-23823,-27000,-27000,9000,-26268,27000,27000,-18000,0,27000,-27000,-23275,-16500,-27000,0
24134,0,-27000,-27000,-20647,9000,-27000,-27000,-19320,-27000,12272,-21600,-27000,-27000,-27000,-27000,-15400,-27000,0
24136,0,-27000,-11571,-20647,-27000,-27000,-27000,-26146,27000,-22090,-3600,-13500,-27000,-27000,-27000,-20343,-16200,0
24137,0,-27000,-27000,-20647,-27000,-27000,-27000,-26512,-27000,7363,9000,-13500,-27000,-27000,-27000,-16400,-16200,0
24139,0,-27000,-19285,-17470,-9000,-27000,-27000,-26146,27000,22090,1800,-13500,-27000,-27000,-27000,-19137,-5400,0
24140,-13500,-27000,-11571,-23823,-27000,-27000,-27000,-12860,27000,-22090,21600,-27000,-27000,-27000,-27000,-18500,-27000,0
24141,-13500,-27000,-27000,-23823,-27000,-27000,-27000,-24318,-27000,22090,1800,0,-27000,-27000,-27000,-20800,-16200,0
24142,-13500,-27000,-27000,-20647,-27000,-27000,9000,-26878,27000,-17181,-27000,27000,27000,-14538,-14896,-27000,-16200,0
24145,-13500,-27000,-27000,-20647,9000,-27000,-27000,-17979,-27000,12272,3600,-27000,-27000,-27000,-27000,-19000,-27000,0
24146,0,-27000,-27000,-23823,-27000,-27000,-27000,-27000,-27000,2454,23400,27000,-27000,-27000,-27000,-27000,-16200,0
24147,0,-27000,-19285,-17470,-27000,-27000,-18000,-24927,-27000,12272,-3600,-13500,-27000,-27000,-27000,-19539,-16200,0
24149,-13500,-27000,-27000,-17470,-27000,-27000,-27000,-18345,27000,-2454,-3600,-27000,-27000,-27000,-27000,-15000,-27000,0
24151,-13500,-27000,-27000,-23823,9000,-27000,-27000,-26512,-27000,12272,25200,-27000,-27000,-27000,-27000,-17940,-27000,0
24152,0,-27000,-19285,-17470,-27000,-27000,-18000,-13347,27000,7363,-9000,-13500,-27000,-27000,-27000,-14220,-16200,0
24154,-13500,-27000,-27000,-23823,-27000,-27000,-27000,-26146,-27000,27000,-10800,0,27000,-27000,-26068,-20500,-27000,0
24155,0,-27000,-27000,-17470,-27000,-27000,-18000,-15176,27000,-7363,5400,-13500,-27000,-27000,-27000,-12960,-27000,0
24156,13500,-27000,-11571,-20647,-27000,-27000,-18000,-21758,27000,7363,-19800,-13500,-27000,-27000,-27000,-10170,-5400,0
24158,13500,-27000,-19285,-14294,-27000,-27000,-27000,-26146,27000,-22090,-1800,-27000,-27000,-27000,-27000,-15500,-16200,0
24160,0,-27000,-27000,-23823,9000,-27000,-27000,-20295,27000,-12272,-18000,-27000,-27000,-27000,-27000,-16600,-27000,0
24162,0,-27000,-27000,-23823,-9000,-27000,-27000,-26756,27000,-7363,5400,-13500,-27000,-27000,-27000,-27000,-5400,0
24165,-13500,-27000,-27000,-17470,9000,-27000,-27000,-22611,-27000,17181,-5400,-27000,-27000,-27000,-27000,-17900,-27000,0
24166,-13500,-27000,-27000,-20647,-27000,-27000,-18000,-26268,-27000,27000,1800,-13500,-27000,-27000,-27000,-17300,-27000,0
24167,-13500,-27000,-27000,-23823,-27000,-27000,-27000,-20539,27000,17181,-3600,-27000,-27000,-27000,-27000,-15000,-27000,0
24168,0,-27000,-27000,-20647,-27000,-27000,-27000,-24440,27000,17181,-19800,-13500,-27000,-27000,-27000,-12100,-16200,0
24169,0,-27000,-19285,-20647,-9000,-27000,-27000,-17613,27000,-12272,-1800,-13500,-27000,-27000,-27000,-20196,-16200,0
24170,-13500,-27000,-27000,-17470,-27000,-27000,-27000,-22489,27000,17181,-5400,-27000,-27000,-27000,-27000,-17500,-27000,0
24172,0,-27000,-27000,-17470,-27000,-27000,-27000,-25902,-27000,17181,-16200,-13500,-27000,-27000,-27000,-12500,-27000,0
24174,0,-27000,-27000,-20647,-27000,-27000,-27000,-26512,27000,-27000,-14400,-13500,-27000,-27000,-27000,-18300,-16200,0
24176,13500,-27000,-11571,-27000,-27000,-27000,-18000,-17613,27000,-2454,5400,-13500,-27000,-27000,-27000,-10570,-5400,0
24177,13500,-27000,-19285,-20647,-27000,-27000,-18000,-21027,27000,2454,-27000,-13500,-27000,-27000,-27000,-11969,16200,0
24178,0,-27000,-27000,-17470,-9000,-27000,-27000,-19198,27000,-12272,9000,-13500,-27000,-27000,-27000,-17550,-27000,0
24179,0,-27000,-19285,-20647,-27000,-27000,-27000,-18223,27000,-2454,1800,-13500,-27000,-27000,-27000,-14310,-16200,0
24181,0,-27000,-19285,-20647,-27000,-27000,-27000,-26512,-27000,27000,-21600,-27000,-27000,-27000,-27000,-21200,-27000,0
24183,-13500,-27000,-19285,-27000,-27000,-27000,-27000,-27000,27000,-12272,-21600,0,27000,-27000,-25137,-20500,-27000,0
24185,0,-27000,-27000,-23823,-27000,-27000,-18000,-25537,27000,-22090,19800,-13500,-27000,-27000,-27000,-16200,-16200,0
24186,-13500,-27000,-27000,-20647,-27000,-27000,-18000,-25415,27000,-2454,-16200,0,-27000,-27000,-27000,-16000,-27000,0
24188,0,-27000,-19285,-20647,-27000,-27000,-27000,-24927,27000,17181,-23400,-27000,-27000,-27000,-27000,-18500,-27000,0
24189,-13500,-27000,-27000,-17470,-27000,-27000,-27000,-20905,27000,-27000,-3600,-13500,-27000,-27000,-27000,-26900,-5400,0
24190,0,-27000,-27000,-20647,-27000,-27000,-27000,-27000,-27000,17181,21600,27000,27000,-27000,-22344,-27000,-16200,0
24191,0,-27000,-27000,-14294,-27000,-27000,-18000,-23952,27000,-2454,-3600,-13500,-27000,-27000,-27000,-14377,-16200,0
24193,0,-16200,-19285,-20647,-27000,-27000,0,-26146,-27000,7363,-23400,27000,-27000,-27000,-27000,-27000,-5400,0
24194,13500,-27000,-27000,-23823,-27000,-27000,-27000,-26268,27000,-12272,-19800,-13500,-27000,-27000,-27000,-13300,-5400,0
