Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
12233,0,-27000,-19285,-20647,-9000,-27000,-27000,-21270,27000,22090,-9000,-13500,-27000,-27000,-27000,-19080,-16200,1
12235,0,-27000,-19285,-20647,9000,-27000,-27000,-26024,27000,-17181,16200,-13500,-27000,-27000,-27000,-8433,-27000,1
12239,13500,-27000,-19285,-17470,-27000,-27000,-18000,-16151,27000,2454,3600,-13500,-27000,-27000,-27000,-13005,-16200,1
12243,0,-16200,-11571,-23823,-27000,-27000,0,-14322,27000,17181,23400,-13500,-27000,-27000,-27000,-11010,-27000,1
12244,0,-27000,-11571,-23823,-9000,27000,-27000,-7984,27000,7363,9000,-13500,-27000,-27000,-27000,-16650,-27000,1
12245,0,-27000,-27000,-23823,-9000,-27000,-27000,-24927,27000,-17181,0,-13500,-27000,-27000,-27000,-17300,-27000,1
12247,0,-27000,-27000,-23823,-27000,-27000,-27000,-5058,-27000,17181,0,-27000,-27000,-27000,-27000,-20000,-27000,1
12251,0,-27000,-27000,-20647,-27000,-27000,-27000,11641,27000,12272,-1800,-27000,-27000,-27000,-27000,-15000,-27000,1
12253,-13500,-27000,-19285,-17470,-27000,-27000,-27000,-14932,27000,17181,14400,-13500,-27000,-27000,-27000,-17752,-27000,1
12255,0,-27000,-19285,-20647,-27000,-27000,-18000,-3961,27000,17181,21600,-13500,-27000,-27000,-27000,-16020,-27000,1
12258,13500,-27000,-11571,-23823,-27000,-27000,-18000,-19808,27000,27000,-9000,-13500,-27000,-27000,-27000,-14400,-27000,1
12264,0,-27000,-11571,-23823,-27000,-27000,-27000,3717,27000,17181,-1800,-13500,-27000,-27000,-27000,-16370,-27000,1
12267,0,-16200,-19285,-20647,9000,-27000,0,-23465,27000,12272,12600,-13500,-27000,-27000,-27000,-5997,-27000,1
12268,-13500,-27000,-27000,-23823,-27000,-27000,-27000,-7130,27000,17181,-1800,-27000,-27000,-27000,-27000,-15500,-27000,1
12269,-13500,-27000,-27000,-17470,-27000,-27000,-27000,-6765,27000,22090,-27000,-27000,-27000,-27000,-27000,-16000,-27000,1
12274,0,-27000,-19285,-14294,-27000,-27000,-27000,-2864,27000,7363,-14400,-13500,-27000,-27000,-27000,-17005,-27000,1
12275,0,-27000,-11571,-20647,-27000,-27000,-27000,-17248,27000,-17181,16200,-27000,-27000,-27000,-27000,-19520,-27000,1
12279,0,-27000,-19285,-27000,-9000,-27000,-27000,-24805,27000,12272,-21600,-13500,-27000,-27000,-27000,-15200,-27000,1
12280,13500,-27000,-19285,-17470,9000,-27000,-18000,-25659,27000,-17181,-23400,-13500,-27000,-27000,-27000,-7700,-27000,1
