Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
12041,0,-21600,-27000,-23823,-27000,27000,-18000,-24927,27000,2454,12600,-13500,-27000,-27000,-27000,-7400,-5400,0
12042,0,-27000,-27000,-17470,-27000,-27000,-27000,-23221,27000,17181,18000,-13500,-27000,-27000,-27000,-14100,-5400,0
12043,-13500,-27000,-27000,-23823,-27000,-27000,-27000,-26878,-27000,27000,-10800,0,-27000,-27000,-27000,-20500,-27000,0
12044,0,-27000,-19285,-17470,-9000,-27000,-27000,-15785,27000,-2454,25200,-13500,-27000,-27000,-27000,-16650,-16200,0
12045,0,-21600,-19285,-14294,-27000,-27000,-27000,-9325,27000,7363,23400,-13500,-27000,-27000,-27000,-14166,-27000,0
12046,0,-27000,-19285,-20647,-27000,-27000,-27000,-7984,-27000,22090,-25200,-27000,-27000,-27000,-27000,-22413,-27000,0
12047,0,-21600,-11571,-23823,-27000,27000,-18000,-11031,27000,2454,-25200,-13500,-27000,-27000,-27000,-14850,-16200,0
12048,0,-27000,-19285,-23823,-27000,-27000,-27000,-19564,-27000,17181,18000,-27000,-27000,-27000,-27000,-19776,-16200,0
12050,0,-27000,-27000,-14294,-27000,-27000,-27000,-2133,-27000,7363,-7200,-13500,-27000,-27000,-27000,-19350,5400,0
12052,0,-27000,-19285,-27000,-27000,-27000,-27000,-26390,27000,-7363,23400,0,-27000,-27000,-27000,-17100,-27000,0
12053,0,-16200,-11571,-23823,-27000,-27000,0,-26756,-27000,17181,-10800,-13500,-27000,-27000,-27000,-7400,5400,0
12054,0,-27000,-27000,-17470,-27000,-27000,-27000,-22489,27000,17181,-5400,-27000,-27000,-27000,-27000,-16500,-27000,0
12056,0,-27000,-11571,-17470,-27000,-27000,-18000,-9812,27000,-7363,23400,-13500,-27000,-27000,-27000,-16171,-5400,0
12057,0,-27000,-11571,-27000,-27000,-27000,-18000,-17613,27000,-7363,-27000,-13500,-27000,-27000,-27000,-12960,-27000,0
12058,13500,-27000,-19285,-17470,-27000,-27000,-27000,-17613,27000,-7363,0,-27000,-27000,-27000,-27000,-16460,-16200,0
12059,0,-27000,-27000,-23823,-27000,-27000,-18000,-27000,27000,27000,-10800,-13500,-27000,-27000,-27000,-13700,-27000,0
12060,0,-27000,-19285,-14294,-27000,-27000,-27000,-8227,27000,-7363,25200,-27000,-27000,-27000,-27000,-18925,-27000,0
12062,0,-27000,-19285,-20647,-27000,-27000,-27000,-4327,27000,-12272,10800,-27000,-27000,-27000,-27000,-19000,-27000,0
12063,0,-27000,-11571,-11117,-27000,-27000,-27000,-12616,27000,2454,-27000,-13500,-27000,-27000,-27000,-16205,-16200,0
12064,-13500,-27000,-27000,-23823,-9000,-27000,-27000,-27000,27000,-17181,-25200,-13500,-27000,-27000,-27000,-18100,-27000,0
12065,0,-27000,-11571,-27000,-9000,-27000,-27000,-10665,27000,2454,-23400,-13500,-27000,-27000,-27000,-18450,-5400,0
12066,0,-27000,-27000,-17470,-27000,-27000,-27000,-16029,27000,-12272,9000,-27000,-27000,-27000,-27000,-18838,-27000,0
12067,0,-27000,-27000,-14294,-27000,-27000,-27000,-25537,27000,-22090,0,-27000,-27000,-27000,-27000,-18500,-27000,0
12069,0,-27000,-19285,-17470,-27000,-27000,-27000,-19442,-27000,17181,-14400,-13500,-27000,-27000,-27000,-18075,-5400,0
12070,0,-27000,-11571,-11117,-27000,-27000,-18000,-25537,27000,7363,23400,-13500,-27000,-27000,-27000,-18068,-16200,0
12071,0,-27000,-19285,-27000,-27000,-27000,-9000,-23221,27000,-27000,-23400,-13500,-27000,-27000,-27000,-19848,-16200,0
12072,0,-27000,-27000,-23823,-27000,-27000,-27000,-26390,-27000,12272,5400,-13500,-27000,-27000,-27000,-13700,-16200,0
12075,-13500,-27000,-27000,-23823,-9000,-27000,-27000,-26756,27000,17181,-19800,-13500,-27000,-27000,-27000,-13600,-16200,0
12076,0,-27000,-27000,-14294,9000,-27000,-27000,-13957,27000,2454,-5400,-13500,-27000,-27000,-27000,-13050,-16200,0
12077,0,-27000,-27000,-20647,9000,-27000,-27000,-17979,-27000,12272,3600,-27000,-27000,-27000,-27000,-16100,-27000,0
12078,0,-27000,-11571,-23823,-27000,-27000,-18000,-26024,27000,-2454,3600,-13500,-27000,-27000,-27000,-11400,-16200,0
12080,0,-27000,-27000,-14294,-27000,-27000,-27000,-7618,-27000,27000,23400,-27000,-27000,-27000,-27000,-19950,-27000,0
12081,0,-27000,-19285,-17470,-27000,-27000,-27000,-27000,27000,-27000,16200,-13500,-27000,-27000,-27000,-17000,-16200,0
12083,-13500,-27000,-19285,-20647,-9000,-27000,-27000,-26756,27000,-22090,-19800,-13500,-27000,-27000,-27000,-21202,-16200,0
