Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
0,0,-27000,-19285,-20647,-27000,-27000,-27000,304,-27000,17181,-25200,-27000,-27000,-27000,-27000,-20500,-27000,0
1,0,-27000,-11571,-17470,-9000,-27000,-27000,-26390,27000,22090,-18000,-13500,-27000,-27000,-27000,-16332,-16200,0
6,0,-27000,-19285,-17470,-27000,-27000,-27000,-22855,-27000,17181,-1800,-13500,-27000,-27000,-27000,-16245,-16200,0
7,0,-27000,-19285,-17470,-27000,-27000,-18000,-16882,27000,27000,18000,-13500,-27000,-27000,-27000,-16439,-16200,0
8,13500,-27000,-27000,-14294,-27000,-27000,-27000,-12250,27000,2454,-18000,-27000,-27000,-27000,-27000,-17310,-16200,0
9,0,-27000,-27000,-11117,-27000,-27000,-18000,-21636,27000,17181,3600,-13500,-27000,-27000,-27000,-13656,5400,0
10,-13500,-27000,-19285,-27000,-9000,-27000,-27000,-27000,27000,12272,-9000,-13500,-27000,-27000,-27000,-18497,-27000,0
11,-13500,-27000,-11571,-23823,-27000,-27000,-18000,-22733,27000,-12272,25200,-13500,-27000,-27000,-27000,-12960,-16200,0
14,0,-27000,-27000,-20647,-27000,-27000,-27000,-21270,-27000,17181,7200,-13500,-27000,-27000,-27000,-17550,-5400,0
16,-13500,-27000,-19285,-27000,-27000,-27000,-27000,-27000,-27000,17181,-19800,-27000,-27000,-27000,-27000,-17400,-27000,0
17,0,-27000,-19285,-17470,-9000,-27000,-27000,-26878,-27000,7363,-10800,-13500,-27000,-27000,-27000,-17400,-16200,0
19,0,-27000,-19285,-27000,-27000,-27000,-27000,-25537,-27000,17181,-21600,-27000,-27000,-27000,-27000,-19800,-27000,0
21,-13500,-27000,-27000,-23823,-27000,-27000,-27000,-12128,27000,22090,16200,0,-27000,-27000,-27000,-20300,-27000,0
22,0,-27000,-11571,-14294,-27000,-27000,-27000,-26756,27000,-17181,7200,-27000,-27000,-27000,-27000,-18500,-27000,0
23,0,-27000,-27000,-17470,-27000,-27000,-27000,-22489,27000,17181,-5400,-27000,-27000,-27000,-27000,-16500,-27000,0
24,0,-27000,-11571,-23823,-9000,-27000,-27000,-11153,27000,-7363,10800,-13500,-27000,-27000,-27000,-17550,-16200,0
25,0,-27000,-27000,-20647,-27000,-27000,-27000,-14932,27000,-12272,21600,-13500,-27000,-27000,-27000,-15570,-16200,0
26,0,-27000,-19285,-23823,-27000,-27000,-27000,-19686,-27000,12272,9000,-27000,-27000,-27000,-27000,-20500,-27000,0
29,0,-27000,-27000,-20647,9000,-27000,-27000,-20173,-27000,12272,1800,-27000,-27000,-27000,-27000,-18800,-27000,0
