fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,RowNum,quality
143,-1513,910,-2582,-2219,-2764,-3043,116,-1458,-1965,150,365,7
1524,-2226,-65,-1068,-2664,-2861,-2583,1847,-895,-1965,350,382,7
1006,-2537,-65,-2804,-2577,-2376,-2905,257,-2021,-1965,-1750,417,7
-891,-1647,-1300,-2404,-2664,-2376,-2744,-303,-230,-1926,-450,459,7
1006,-1558,585,-3027,-2588,-1115,-2423,444,-2328,-1887,-1150,467,7
-546,-2136,-390,-2938,-2967,-1309,-2423,-818,-690,-1381,-850,574,7
-2962,-1179,-3250,-2893,-2902,-1988,-1412,-2080,946,-875,1250,577,7
-1064,-2671,-715,-2760,-2935,-2958,-3158,-1473,-537,-1770,850,580,7
-3077,-1914,-3250,-2715,-2859,-1794,-2423,-2595,1714,-1654,2350,589,7
-1581,-2582,-1040,-2626,-2837,-2958,-3204,-911,127,-2043,-650,592,7
-2042,-2537,-1429,-2582,-3250,145,-1090,-3016,-588,-3016,50,597,7
-2042,-2537,-1429,-2582,-3250,145,-1090,-3016,-588,-3016,50,598,7
-86,-2404,-975,-2938,-2566,-2473,-2744,-163,-690,-1303,-450,599,7
-1179,-2626,-1040,-2537,-2588,-1794,-2308,-537,127,-1498,-350,611,7
834,-2537,-195,-2893,-2794,-1697,-2652,-70,-1151,-1926,-1050,612,7
-834,-2404,-650,-2404,-2197,-2667,-3020,-444,-332,-1459,150,619,7
-1121,-2404,-715,-2582,-2533,-1697,-2400,-1239,-332,-1537,850,633,7
-1121,-2404,-715,-2582,-2533,-1697,-2400,-1239,-332,-1537,850,635,7
-1639,-957,-2600,-2582,-2512,-1794,-2629,163,1049,-1848,-850,637,7
-1639,-957,-2600,-2582,-2512,-1794,-2629,163,1049,-1848,-850,638,7
-1984,-1157,-2860,-979,-2729,-2279,-2974,-397,179,-2238,-850,639,7
-949,-2804,-910,-2804,-2685,1794,-1619,-491,486,-1148,-650,654,7
-891,-2315,-780,-2181,-2696,-2376,-2951,-1098,-383,-1693,350,658,7
-201,-2582,-65,-1424,-2490,-2473,-2997,-1052,-946,-2510,850,664,7
-86,-1869,-650,-2493,-2381,-2085,-2193,584,-793,-2043,-1650,665,7
-1121,-2448,-65,-1958,-2403,-2279,-2836,-958,-537,-2043,450,666,7
-28,-1825,519,-1825,-2381,-2279,-2836,163,-435,-681,350,667,7
-1121,-2537,-130,-2715,-2371,-2764,-3112,-1379,-588,-2121,750,668,7
-776,-3249,-325,-2849,-2566,-2376,-2905,-724,179,-1576,250,669,7
-776,-3249,-325,-2849,-2566,-2376,-2905,-724,179,-1576,250,670,7
-1121,-2537,-130,-2715,-2371,-2764,-3112,-1379,-588,-2121,750,671,7
-1179,-2404,-650,-2671,-2750,-2764,-3158,-771,-332,-1887,-450,672,7
-28,-2270,-130,-2715,-2815,-2861,-3181,-1145,-895,-1848,450,673,7
-2214,-1246,-2470,-2626,-2078,-921,-2560,-865,486,-1770,-350,676,7
-834,-2315,-585,-1023,-2588,-2667,-3089,-210,-383,-2121,450,684,7
-1869,-2003,-1170,-2047,-2718,-2473,-2721,-1332,-486,-2627,-350,687,7
-1581,-1869,-1300,-2671,-2707,-2764,-3112,-958,332,-1732,-150,702,7
-1984,-2181,-1170,-2849,-2653,-2958,-3204,-1987,-76,-2393,1150,704,7
-661,-2493,-1105,-2738,-2696,-2085,-2767,-865,-588,-1264,50,705,7
-661,-2448,-1040,-2760,-2685,-2182,-2813,-865,-588,-1264,50,706,7
-776,-2226,-650,-2047,-2186,-2182,-2836,-724,-742,-1809,350,707,7
-776,-2537,-325,-2893,-2653,-2667,-3112,-1660,-639,-2393,650,708,7
-776,-2092,-650,-2671,-2642,-2182,-2744,-1005,-537,-1615,950,713,7
-1466,-1202,-3185,-2849,-2425,-2182,-2974,-631,-281,-2354,-1150,720,7
-1466,-1202,-3185,-2849,-2425,-2182,-2974,-631,-281,-2354,-1150,724,7
-86,-2136,-1040,-2582,-2457,-2861,-2997,-116,-1049,-2004,-1050,727,7
-1524,-2404,-1040,-2537,-2490,-824,-2583,-1613,-793,-2238,850,728,7
