fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,RowNum,quality
-891,-1958,-585,-890,-2533,-921,-2423,-818,-690,-1537,950,729,7
-1121,-2315,-520,-2626,-2620,-2473,-2928,-1285,25,-1537,1050,740,7
-776,-1647,195,-1869,-2284,-3055,-3158,-537,-844,-2238,450,742,7
-201,-1424,454,-2582,-2371,-436,-2193,23,-946,-1576,-50,744,7
-776,-1647,195,-1869,-2284,-3055,-3158,-537,-844,-2238,450,745,7
-2099,-1469,-2730,-2582,-2620,-2085,-2790,-1613,127,-1732,850,752,7
488,-2404,195,-2671,-2729,-3055,-3158,-631,-1816,-1303,-750,753,7
-546,-2315,-325,-2982,-2761,-1503,-2537,-958,-998,-1070,-550,755,7
-1351,-2448,1170,44,-2837,291,2997,-1800,-1868,-2549,650,760,7
-1351,-2448,1170,44,-2837,291,3250,-1800,-1868,-2549,650,761,7
-1006,-2270,-650,-1558,-2783,-3055,-3181,163,25,-1965,-50,765,7
776,-1958,260,-2982,-2349,-1212,-2446,116,-1816,-1576,-1750,767,7
776,-1958,260,-2982,-2349,-1212,-2446,116,-1816,-1576,-1750,768,7
-603,-2404,-910,-2671,-2522,-2279,-2675,-444,-230,-1187,350,772,7
-661,-2448,-585,-2760,-2642,-2376,-2836,-865,-537,-1226,50,781,7
-2789,-1914,-1495,-2760,-2381,-1115,-2124,-1098,2072,-2043,650,785,7
-834,-2715,-975,-2893,-2783,-2085,-2767,-1473,-1202,-2238,-350,795,7
-1639,-2181,-1040,-2849,-2566,-1600,-2515,-1753,25,-1109,1950,799,7
-1754,-1647,-2795,-1202,-2414,-2376,-2974,-116,-25,-1887,-450,800,7
-1006,-2537,-975,-2893,-2718,-2764,-3043,-865,-383,-1654,150,801,7
-143,-1958,-325,-890,-2609,-2764,-3066,-23,-844,-2627,150,813,7
-1006,-2982,65,-2871,-2609,1018,-1366,-865,-230,-1576,150,820,7
-2962,-1513,-2080,-2715,-2924,-1794,-1068,-2174,435,-1148,1250,821,7
-1006,-2359,-520,-2626,-2566,-2182,-2951,-1285,-1202,-1770,150,822,7
-1179,-2315,-715,-2537,-2577,-533,-2285,-818,-281,-1109,750,824,7
-1754,-2671,-845,-2537,-2696,-2279,-2446,-1239,742,-1420,750,842,7
-1351,-2270,-910,-2804,-2674,-2861,-3158,-1332,-537,-2432,-450,849,7
-1754,-2181,-260,-2715,-2577,-1018,-2377,-818,127,-1226,-650,852,7
-1754,-2181,-260,-2715,-2577,-1018,-2377,-818,127,-1226,-650,853,7
-1754,-2181,-260,-2715,-2577,-1018,-2377,-818,127,-1226,-650,855,7
-2329,-2047,-455,-2760,-2609,-1988,-2836,-1285,383,-1148,-450,856,7
-2962,-1914,-3250,-2849,-2902,-1600,-1366,-2548,1561,-1693,1950,868,7
-258,-2448,-715,-2893,-2707,-3055,-3181,-1052,-1202,-2315,-150,907,7
-1236,-2493,-910,-2671,-2859,48,-2170,-958,-537,-603,750,1000,7
-1696,-2270,-1105,-2537,-2685,-1309,-2537,-865,-127,-1537,450,1009,7
-2387,-2003,-2210,-2849,-2631,-2279,-2813,-724,230,-1654,-1550,1021,7
-1754,-2136,-1170,-2760,-2707,-1891,-2744,-1098,-742,-1693,-350,1031,7
-1409,-2359,-390,-2448,-2251,-2570,-2997,116,-230,-1498,-650,1032,7
-2099,-1202,-3120,-2760,-2707,242,-2170,-1566,-127,-1576,-50,1033,7
-1351,-2893,-975,-2893,-2794,-2667,-3043,-1145,-281,-1420,250,1038,7
-1696,-1647,-1170,-2715,-2707,-339,-2147,116,-383,-2004,-1650,1043,7
-1696,-1647,-1170,-2715,-2707,-339,-2147,116,-383,-2004,-1650,1045,7
-2847,-1691,-2535,-2671,-2859,-1794,-1343,-2455,844,-1109,1920,1052,7
-2847,-1691,-2535,-2671,-2859,-1794,-1343,-2455,844,-1109,1950,1054,7
-2214,-2404,-2665,-3027,-2664,-1891,-2744,-1145,230,-1809,-1650,1067,7
-2099,-1291,-2340,-2582,-2685,-2085,-2721,-1426,230,-2121,50,1096,7
-1064,-2136,-455,-2626,-2696,-2182,-2951,-724,-1049,-1381,-450,1100,7
