fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,RowNum,quality
-1639,-667,-3250,-2804,-2555,-2279,-2606,350,690,-2354,-2250,0,5
-1409,133,-3250,-2493,-2316,-921,-1848,-116,-895,-1887,-1850,1,5
-1409,-400,-2990,-2626,-2381,-1891,-2147,-23,-588,-2004,-1850,2,5
-1639,-667,-3250,-2804,-2555,-2279,-2606,350,690,-2354,-2250,4,5
-1639,-845,-3250,-2849,-2566,-2085,-2469,350,690,-2354,-2250,5,5
-1351,-1113,-2860,-2938,-2631,-1891,-2032,-303,-383,-2744,-2250,6,5
-2042,-1202,-2730,-2849,-2327,-1891,-1894,-537,-486,-2432,-2450,9,5
-2674,-1046,-3250,-2938,-2414,-1794,-2032,-1285,1049,-2510,-1750,10,5
-1409,-1068,-1365,-2938,-2143,-2473,-2721,163,-588,1537,-2550,11,5
-1524,-2047,-1235,-2626,-2490,-1115,-1757,537,742,-2004,-1950,14,5
-1351,-1869,-1885,-2938,-2229,-2376,-2537,-210,-1049,-992,-2150,15,5
-1006,-1602,-2535,-2626,-2468,-2473,-1848,-116,-1049,-2471,-2250,16,5
-2272,-2047,-2210,-3027,-2512,-2279,-2859,-724,-179,-2354,-2350,18,5
-1524,-1958,-1690,-2849,-2512,-2958,-3135,-397,-486,-2238,-2150,19,5
-1811,-623,-3250,-2804,-2512,-1988,-2583,70,486,-2393,-2250,20,5
-2042,-779,-2795,-2582,-2414,-1697,-1504,-584,-127,-2432,-1550,22,5
-1121,-868,-2470,-2626,-2479,-1891,-792,-210,-1049,-1965,-1850,23,5
-2904,-2359,-1625,-2849,-2262,-2085,-2239,-631,25,-2393,-2450,24,5
-1696,-1780,-910,-1023,-2577,-2182,-1389,350,-230,-1303,-1150,28,5
-1236,-845,-1820,-2671,-2631,-2473,-2859,-116,-383,136,-1350,31,5
-1466,378,-455,-2671,-2143,-1212,-769,-23,-639,-1693,-2450,33,5
-834,-845,-1560,-2893,-2577,-2958,-2859,23,-1151,-1654,-2450,34,5
-949,-2092,-910,-2315,-2501,-436,-654,-23,-895,-2354,-2250,37,5
-28,-1914,454,-2136,-2620,-2958,-3158,23,-1714,-2082,-2050,39,5
-1409,-1157,-2080,-2626,-2555,-1697,-2147,210,281,-2238,-1650,40,5
-834,-2003,-650,-2671,-2522,-1503,-2193,444,332,-2043,-2450,42,5
-1466,-712,-65,-2849,-2132,-1406,-815,-116,-844,-1770,-2350,43,5
-1869,-511,-2925,-2760,-2501,-2085,-2147,-210,76,-2315,-1850,44,5
-1754,-556,-2925,-1580,-2446,-2958,-3135,-397,179,-3016,-750,45,5
-1754,-556,-2925,-1580,-2446,-2958,-3135,-397,179,-3016,-750,46,5
-2099,-645,-2795,-2938,-2555,-2764,-3043,-397,332,-2276,-950,47,5
-1466,-712,-1820,-2804,-2468,-1600,-1228,-444,-332,-2666,-2150,49,5
-834,-1958,910,-2671,-2371,-2473,-2423,724,844,-1965,-1150,51,5
-2042,-445,-2470,-2760,-2446,-2182,-1550,-584,25,-2510,-1550,53,5
-2329,-1780,-1950,-2938,-2631,-3055,-3043,-584,179,-2354,-2450,55,5
-1639,-1558,-195,-2760,-2446,-1309,-1711,-23,-76,-2315,-2550,56,5
-1926,-1335,-2275,-2671,-2555,-1503,-2469,-444,179,-2238,-1550,58,5
-1466,-1602,-1560,-2804,-2707,-2473,-2675,-210,76,-2043,-2050,60,5
-546,-2047,-390,-2715,-2219,-48,-516,350,-1202,214,-2150,61,5
-1869,-1023,-2730,-2849,-2555,-2570,-2836,350,537,-2471,-2650,62,5
-1351,-1469,-1560,-2804,-2522,727,-172,-303,-742,-2432,-2150,63,5
-1466,-1602,-1560,-2804,-2707,-2473,-2675,-210,76,-2043,-2050,65,5
-1984,-333,-3250,-2315,-2273,-2570,-2859,-257,383,-2354,-950,67,5
-1524,222,-2860,-2537,-2522,-2861,-3158,-163,76,-2354,-1850,68,5
-1236,-1224,-1820,-2715,-2544,-2182,-1894,-163,-435,-2549,-2450,72,5
-1754,-1602,-1690,-2671,-2620,-2861,-2560,-491,-230,-2666,-2250,73,5
-1236,-1224,-1820,-2715,-2544,-2182,-1894,-163,-435,-2549,-2450,74,5
-1409,-1958,1170,-2893,1687,-1600,-1803,116,-1509,564,-2350,75,5
-2329,-979,-1235,-2893,-2425,-1891,-1917,-70,435,-1459,-2350,76,5
-1409,-1291,-2015,-2849,-2251,-2182,-2308,-303,-946,-914,-2150,77,5
-1064,-1023,-2665,-2671,-2468,-2279,-907,-303,-1151,-1965,-1850,78,5
-1409,-1291,-2015,-2849,-2251,-2182,-2308,-303,-946,-914,-2150,80,5
-1696,979,-2665,-2893,-1448,-2376,-1343,-397,-383,-2315,-2650,83,5
-1696,-690,-3250,-2537,-2566,-3055,-3089,444,588,-2510,-2450,85,5
-1409,-1558,-2145,-2938,-2490,-1309,-1045,-491,76,-2666,-2150,86,5
-1179,2136,-3250,-2893,-2501,-3055,-3112,-303,793,-2627,-750,87,5
-1236,2136,-3250,-2849,-2490,-3055,-3112,-303,844,-2666,-750,88,5
-1294,-467,390,-2760,-2099,-436,-310,-116,-690,-1965,-2250,90,5
-2674,-1558,-2665,-2626,-2848,-1697,-1113,-1566,1305,-2082,1350,91,5
-1064,-467,-2535,-2804,-2403,-1794,-1940,-257,-946,-1342,-2050,93,5
-1754,-1936,-910,-2760,-2501,-2085,-2354,70,537,-2043,-2450,94,5
-1064,-467,-2535,-2804,-2403,-1794,-1940,-257,-946,-1342,-2050,95,5
-2272,-2047,-2730,-2893,-2664,-3055,-2928,-771,-179,-2276,-2250,97,5
-1236,-801,325,-2849,-2110,-242,-149,-116,-1049,-2121,-2250,99,5
-2559,-756,-3120,-2849,-2436,-1309,-1228,-1239,844,-2510,-1650,100,5
-1581,-1113,-3055,-2849,-2349,-921,-1113,-958,-127,-2432,-1550,104,5
-1581,-1113,-3055,-2849,-2349,-921,-1113,-958,-127,-2432,-1550,105,5
-1811,-1869,-520,-1202,-2609,-630,-447,116,230,-1770,-1150,106,5
-1811,-1869,-520,-1202,-2620,-533,-424,116,230,-1732,-1150,107,5
-1811,-1869,-520,-1202,-2609,-630,-447,116,230,-1770,-1150,108,5
-1811,-756,-3250,-2671,-2588,-2182,-2882,-70,537,-2588,-2350,109,5
-1524,445,-3055,-2760,-2403,-2667,-2928,-537,-895,-2354,-2050,111,5
-1639,-1113,-1560,-400,-2620,145,-608,537,-25,-2627,-2250,114,5
-1696,-1157,-1560,-445,-2620,48,-608,491,-25,-2627,-2250,115,5
-1409,-979,-130,-2893,-2295,-1988,-1182,-444,-946,-2121,-2150,116,5
-1984,-934,-2600,-2715,-2457,-1600,-1068,-678,-179,-2510,-1450,117,5
