pH,Temprature,Taste,Odor,Fat ,Turbidity,Colour,RowNum,Grade
5,-33,35,-35,35,-35,30,0,0
5,-32,-35,35,-35,35,25,1,0
5,-31,35,35,35,35,35,5,0
5,-21,-35,35,35,35,35,14,0
5,-21,-35,35,35,35,11,20,0
5,-21,35,35,35,35,-11,23,0
-5,-32,-35,35,35,-35,25,25,0
5,-31,35,-35,35,-35,35,29,0
5,-25,35,35,35,35,35,32,0
-5,-30,35,35,35,35,35,38,0
5,-27,35,35,35,35,35,42,0
5,-30,35,-35,35,-35,35,50,0
5,-32,-35,35,35,-35,25,54,0
5,-33,-35,35,35,35,35,60,0
5,-23,35,-35,35,35,11,62,0
5,-23,35,-35,35,-35,11,68,0
5,-27,35,-35,35,35,35,71,0
5,-30,-35,35,35,35,35,78,0
5,-26,35,35,35,-35,35,80,0
