pH,Temprature,Taste,Odor,Fat ,Turbidity,Colour,RowNum,Grade
-6,-13,-32,32,32,32,32,339,1
23,-8,-32,32,32,32,32,340,1
11,32,32,-32,32,32,32,341,1
-32,-25,32,32,32,32,32,345,1
27,-22,32,-32,32,32,10,346,1
23,-8,-32,32,32,32,32,347,1
-15,-27,32,-32,32,-32,32,351,1
-32,-25,32,32,32,32,32,352,1
27,-22,32,-32,32,32,10,353,1
-17,-27,-32,32,32,32,32,357,1
22,9,-32,-32,-32,-32,-6,361,1
11,3,-32,-32,-32,-32,32,366,1
-32,-25,32,-32,-32,-32,32,370,1
27,-22,32,32,32,32,2,371,1
-32,-25,32,32,32,32,32,374,1
23,-8,-32,32,32,32,32,376,1
-32,-25,32,32,32,32,32,381,1
27,-22,32,-32,32,32,10,382,1
-15,-27,32,-32,32,-32,32,388,1
-32,-25,32,32,32,32,32,389,1
27,-22,32,-32,32,32,10,390,1
-17,-27,-32,32,32,32,32,394,1
22,9,-32,-32,-32,-32,-6,398,1
11,3,-32,-32,-32,-32,32,403,1
-32,-25,32,-32,-32,-32,32,407,1
27,-22,32,32,32,32,2,408,1
3,-13,-32,-32,-32,32,10,410,1
3,-13,-32,-32,-32,-32,32,412,1
32,-32,32,32,-32,32,32,414,1
32,-32,32,32,-32,32,32,416,1
-7,-19,32,-32,32,32,10,419,1
-17,-2,-32,32,32,32,10,420,1
18,4,32,-32,32,32,32,421,1
-6,-13,-32,32,32,32,32,424,1
11,32,32,-32,32,32,32,426,1
5,-13,-32,-32,32,-32,32,427,1
-32,-25,32,32,32,32,32,430,1
23,-8,-32,32,32,32,32,432,1
-32,-25,32,32,32,32,32,437,1
27,-22,32,-32,32,32,10,438,1
2,-8,32,-32,32,-32,-6,444,1
22,9,-32,-32,-32,-32,-6,446,1
-17,-27,-32,32,32,32,32,450,1
22,9,-32,-32,-32,-32,-6,454,1
3,-13,-32,-32,-32,-32,32,455,1
32,-32,32,32,-32,32,32,457,1
32,-32,32,32,-32,32,32,459,1
-7,-19,32,-32,32,32,10,462,1
-17,-2,-32,32,32,32,10,463,1
18,4,32,-32,32,32,32,464,1
-6,-13,-32,32,32,32,32,467,1
11,32,32,-32,32,32,32,469,1
5,-13,-32,-32,32,-32,32,470,1
-32,-25,32,32,32,32,32,473,1
23,-8,-32,32,32,32,32,475,1
-32,-25,32,32,32,32,32,480,1
27,-22,32,-32,32,32,10,481,1
2,-8,32,-32,32,-32,-6,487,1
22,9,-32,-32,-32,-32,-6,489,1
-17,-27,-32,32,32,32,32,493,1
22,9,-32,-32,-32,-32,-6,497,1
11,3,-32,-32,-32,-32,32,502,1
-32,-25,32,-32,-32,-32,32,506,1
27,-22,32,32,32,32,2,507,1
3,-13,-32,-32,-32,32,10,509,1
3,-13,-32,-32,-32,-32,32,511,1
32,-32,32,32,-32,32,32,513,1
32,-32,32,32,-32,32,32,515,1
-7,-19,32,-32,32,32,10,518,1
-17,-2,-32,32,32,32,10,519,1
18,4,32,-32,32,32,32,520,1
-6,-13,-32,32,32,32,32,523,1
11,32,32,-32,32,32,32,525,1
5,-13,-32,-32,32,-32,32,526,1
4,-13,32,32,32,-32,-10,529,1
11,3,-32,-32,-32,-32,32,532,1
-32,-25,32,-32,-32,-32,32,536,1
27,-22,32,32,32,32,2,537,1
3,-13,-32,-32,-32,32,10,539,1
32,-32,32,32,-32,32,32,543,1
-7,-19,32,-32,32,32,10,546,1
18,4,32,-32,32,32,32,548,1
-32,-25,32,32,32,32,32,551,1
23,-8,-32,32,32,32,32,553,1
5,-8,-32,-32,-32,32,32,554,1
-15,-27,32,-32,32,-32,32,557,1
-32,-25,32,32,32,32,32,558,1
