pH,Temprature,Taste,Odor,Fat ,Turbidity,Colour,RowNum,Grade
5,-19,-32,32,32,32,32,378,0
3,-27,32,-32,32,-32,32,380,0
5,-19,-32,32,32,32,32,386,0
3,-19,-32,32,32,32,10,392,0
5,-19,32,32,32,32,-10,395,0
5,-30,-32,32,32,-32,23,397,0
3,-29,32,-32,32,-32,32,401,0
2,-27,32,32,32,32,32,405,0
5,-25,32,32,32,32,32,409,0
5,-19,32,32,32,-32,-10,413,0
3,-29,32,32,32,32,32,418,0
3,-31,-32,32,32,32,32,425,0
4,-27,32,-32,32,-32,32,429,0
3,-22,32,-32,32,32,10,431,0
5,-19,-32,32,32,32,32,434,0
3,-27,32,-32,32,-32,32,436,0
5,-19,32,32,32,32,-10,443,0
5,-30,-32,32,32,-32,23,445,0
3,-19,-32,32,32,32,10,448,0
5,-19,32,32,32,32,-10,451,0
5,-30,-32,32,32,-32,23,453,0
5,-19,32,32,32,-32,-10,456,0
3,-29,32,32,32,32,32,461,0
3,-31,-32,32,32,32,32,468,0
4,-27,32,-32,32,-32,32,472,0
3,-22,32,-32,32,32,10,474,0
5,-19,-32,32,32,32,32,477,0
3,-27,32,-32,32,-32,32,479,0
5,-19,32,32,32,32,-10,486,0
5,-30,-32,32,32,-32,23,488,0
3,-19,-32,32,32,32,10,491,0
5,-19,32,32,32,32,-10,494,0
5,-30,-32,32,32,-32,23,496,0
3,-29,32,-32,32,-32,32,500,0
2,-27,32,32,32,32,32,504,0
5,-25,32,32,32,32,32,508,0
5,-19,32,32,32,-32,-10,512,0
3,-29,32,32,32,32,32,517,0
3,-31,-32,32,32,32,32,524,0
5,-19,-32,32,32,32,32,530,0
2,-27,32,32,32,32,32,534,0
5,-25,32,32,32,32,32,538,0
5,-19,32,32,32,-32,-10,542,0
3,-29,32,32,32,32,32,545,0
4,-27,32,-32,32,-32,32,550,0
5,-22,32,-32,32,-32,10,552,0
5,-19,-32,32,32,32,32,555,0
3,-19,-32,32,32,32,10,561,0
5,-19,32,32,32,32,-10,564,0
5,-30,-32,32,32,-32,23,566,0
3,-29,32,-32,32,-32,32,570,0
2,-27,32,32,32,32,32,574,0
3,-25,32,-32,32,32,32,576,0
4,-27,32,-32,32,-32,32,579,0
3,-22,32,-32,32,32,10,581,0
2,-27,32,32,32,32,32,583,0
5,-25,32,32,32,32,32,587,0
5,-19,32,32,32,-32,-10,591,0
3,-29,32,32,32,32,32,596,0
3,-31,-32,32,32,32,32,603,0
5,-19,-32,32,32,32,32,609,0
2,-27,32,32,32,32,32,613,0
5,-25,32,32,32,32,32,617,0
5,-19,32,32,32,-32,-10,621,0
3,-29,32,32,32,32,32,624,0
4,-27,32,-32,32,-32,32,629,0
5,-22,32,-32,32,-32,10,631,0
5,-19,-32,32,32,32,32,634,0
3,-19,-32,32,32,32,10,640,0
5,-19,32,32,32,32,-10,643,0
5,-30,-32,32,32,-32,23,645,0
3,-29,32,-32,32,-32,32,649,0
2,-27,32,32,32,32,32,653,0
4,-27,32,-32,32,-32,32,655,0
5,-19,-32,32,32,32,32,660,0
3,-29,32,32,32,32,32,667,0
4,-27,32,-32,32,-32,32,678,0
5,-19,-32,32,32,32,32,683,0
3,-19,-32,32,32,32,10,689,0
5,-19,32,32,32,32,-10,692,0
5,-30,-32,32,32,-32,23,694,0
3,-29,32,-32,32,-32,32,698,0
2,-27,32,32,32,32,32,702,0
4,-27,32,-32,32,-32,32,707,0
3,-22,32,-32,32,32,10,709,0
