no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,RowNum,booking_status
0,-27000,-19285,-20647,-9000,-27000,-27000,-21270,27000,22090,-9000,-13500,-27000,-27000,-27000,-19080,-16200,12233,1
0,-27000,-19285,-20647,9000,-27000,-27000,-26024,27000,-17181,16200,-13500,-27000,-27000,-27000,-8433,-27000,12235,1
13500,-27000,-19285,-17470,-27000,-27000,-18000,-16151,27000,2454,3600,-13500,-27000,-27000,-27000,-13005,-16200,12239,1
0,-16200,-11571,-23823,-27000,-27000,0,-14322,27000,17181,23400,-13500,-27000,-27000,-27000,-11010,-27000,12243,1
0,-27000,-11571,-23823,-9000,27000,-27000,-7984,27000,7363,9000,-13500,-27000,-27000,-27000,-16650,-27000,12244,1
0,-27000,-27000,-23823,-9000,-27000,-27000,-24927,27000,-17181,0,-13500,-27000,-27000,-27000,-17300,-27000,12245,1
0,-27000,-27000,-23823,-27000,-27000,-27000,-5058,-27000,17181,0,-27000,-27000,-27000,-27000,-20000,-27000,12247,1
0,-27000,-27000,-20647,-27000,-27000,-27000,11641,27000,12272,-1800,-27000,-27000,-27000,-27000,-15000,-27000,12251,1
-13500,-27000,-19285,-17470,-27000,-27000,-27000,-14932,27000,17181,14400,-13500,-27000,-27000,-27000,-17752,-27000,12253,1
0,-27000,-19285,-20647,-27000,-27000,-18000,-3961,27000,17181,21600,-13500,-27000,-27000,-27000,-16020,-27000,12255,1
13500,-27000,-11571,-23823,-27000,-27000,-18000,-19808,27000,27000,-9000,-13500,-27000,-27000,-27000,-14400,-27000,12258,1
0,-27000,-11571,-23823,-27000,-27000,-27000,3717,27000,17181,-1800,-13500,-27000,-27000,-27000,-16370,-27000,12264,1
0,-16200,-19285,-20647,9000,-27000,0,-23465,27000,12272,12600,-13500,-27000,-27000,-27000,-5997,-27000,12267,1
-13500,-27000,-27000,-23823,-27000,-27000,-27000,-7130,27000,17181,-1800,-27000,-27000,-27000,-27000,-15500,-27000,12268,1
-13500,-27000,-27000,-17470,-27000,-27000,-27000,-6765,27000,22090,-27000,-27000,-27000,-27000,-27000,-16000,-27000,12269,1
0,-27000,-19285,-14294,-27000,-27000,-27000,-2864,27000,7363,-14400,-13500,-27000,-27000,-27000,-17005,-27000,12274,1
0,-27000,-11571,-20647,-27000,-27000,-27000,-17248,27000,-17181,16200,-27000,-27000,-27000,-27000,-19520,-27000,12275,1
0,-27000,-19285,-27000,-9000,-27000,-27000,-24805,27000,12272,-21600,-13500,-27000,-27000,-27000,-15200,-27000,12279,1
13500,-27000,-19285,-17470,9000,-27000,-18000,-25659,27000,-17181,-23400,-13500,-27000,-27000,-27000,-7700,-27000,12280,1
-13500,-27000,-11571,-27000,9000,-27000,-27000,20051,27000,17181,12600,-27000,-27000,-27000,-27000,-18000,-27000,12283,1
0,-27000,-19285,-20647,-27000,-27000,-27000,-792,27000,2454,-14400,-13500,-27000,-27000,-27000,-17370,-27000,12288,1
0,-27000,-27000,-23823,-27000,-27000,-27000,-1279,27000,22090,3600,-13500,-27000,-27000,-27000,-19170,-27000,12290,1
0,-27000,-27000,-20647,-9000,-27000,-27000,-8959,27000,-2454,1800,-13500,-27000,-27000,-27000,-15390,-27000,12292,1
13500,-27000,-19285,-17470,-27000,-27000,-18000,-23708,27000,2454,16200,-13500,-27000,-27000,-27000,-8767,-27000,12294,1
0,-27000,-19285,-23823,-27000,-27000,-27000,-22367,27000,-7363,-16200,-13500,-27000,-27000,-27000,-13410,-27000,12297,1
0,-21600,-27000,-20647,-27000,-27000,-27000,-16516,27000,7363,-12600,-13500,-27000,-27000,-27000,-14931,-16200,12300,1
13500,-27000,-11571,-23823,-27000,-27000,-27000,-22611,27000,-12272,-10800,-13500,-27000,-27000,-27000,-13230,-27000,12302,1
-13500,-27000,-27000,-20647,-27000,-27000,-27000,-14444,27000,-12272,5400,-27000,-27000,-27000,-27000,-15500,-27000,12304,1
0,-27000,-27000,-23823,-9000,-27000,-27000,-20905,27000,17181,5400,-13500,-27000,-27000,-27000,-16200,-16200,12315,1
0,-27000,-27000,-20647,-27000,-27000,-27000,-14810,-27000,2454,-25200,-13500,-27000,-27000,-27000,-19350,-16200,12316,1
0,-27000,-27000,-20647,-27000,27000,-27000,-2498,27000,-7363,14400,-13500,-27000,-27000,-27000,-14300,-16200,12317,1
0,-27000,-19285,-17470,-27000,-27000,-27000,-6521,27000,22090,-16200,-13500,-27000,-27000,-27000,-9810,-16200,12322,1
-13500,-27000,-27000,-20647,-27000,-27000,-27000,-4083,27000,-2454,-1800,-27000,-27000,-27000,-27000,-14000,-27000,12323,1
0,-27000,-11571,-23823,-27000,-27000,-27000,-16638,-27000,2454,-19800,-13500,-27000,-27000,-27000,-21764,-27000,12332,1
0,-27000,-19285,-23823,-9000,-27000,-27000,-19198,27000,-7363,9000,-13500,-27000,-27000,-27000,-15390,-27000,12333,1
0,-27000,-19285,-27000,-9000,-27000,-27000,-25781,27000,-17181,-5400,-13500,-27000,-27000,-27000,-17300,-27000,12334,1
