no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,RowNum,booking_status
-13500,-27000,-27000,-20647,-27000,-27000,-27000,-7009,-27000,17181,-25200,-27000,-27000,-27000,-27000,-17000,-27000,24118,0
0,-27000,-27000,-17470,-27000,27000,-9000,-14322,-27000,7363,-9000,-13500,-27000,-27000,-27000,-20210,-5400,24119,0
0,-27000,-27000,-23823,-9000,-27000,-27000,-26878,27000,-22090,-18000,-13500,-27000,-27000,-27000,-18900,-16200,24120,0
13500,-27000,-11571,-20647,-27000,-27000,-18000,-26756,27000,-22090,-18000,-13500,-27000,-27000,-27000,-14000,-5400,24122,0
0,-27000,-19285,-23823,-27000,-27000,-18000,-22733,-27000,17181,1800,-13500,-27000,-27000,-27000,-15615,-16200,24123,0
-13500,-27000,-27000,-20647,9000,-27000,-27000,-18589,-27000,12272,10800,-27000,-27000,-27000,-27000,-18700,-27000,24124,0
0,-27000,-19285,-20647,-27000,-27000,-27000,-23221,27000,12272,0,-27000,-27000,-27000,-27000,-19500,-27000,24125,0
0,-27000,-27000,-23823,-9000,-27000,-27000,-24927,27000,-22090,16200,-13500,-27000,-27000,-27000,-18900,-27000,24126,0
-13500,-27000,-19285,-23823,-27000,-27000,-27000,-7618,27000,-12272,-12600,-27000,-27000,-27000,-27000,-20500,-16200,24127,0
0,-27000,-19285,-20647,-27000,-27000,-27000,-14566,27000,7363,5400,-13500,-27000,-27000,-27000,-15030,-5400,24128,0
13500,-27000,-19285,-17470,-27000,-27000,-27000,-26390,27000,-27000,21600,-13500,-27000,-27000,-27000,-14000,-27000,24129,0
0,-27000,-27000,-17470,-27000,-27000,-27000,-24562,27000,-17181,-12600,-27000,-27000,-27000,-27000,-19000,-27000,24131,0
-13500,-27000,-27000,-23823,-27000,-27000,9000,-26268,27000,27000,-18000,0,27000,-27000,-23275,-16500,-27000,24132,0
0,-27000,-27000,-20647,9000,-27000,-27000,-19320,-27000,12272,-21600,-27000,-27000,-27000,-27000,-15400,-27000,24134,0
0,-27000,-11571,-20647,-27000,-27000,-27000,-26146,27000,-22090,-3600,-13500,-27000,-27000,-27000,-20343,-16200,24136,0
0,-27000,-27000,-20647,-27000,-27000,-27000,-26512,-27000,7363,9000,-13500,-27000,-27000,-27000,-16400,-16200,24137,0
0,-27000,-19285,-17470,-9000,-27000,-27000,-26146,27000,22090,1800,-13500,-27000,-27000,-27000,-19137,-5400,24139,0
-13500,-27000,-11571,-23823,-27000,-27000,-27000,-12860,27000,-22090,21600,-27000,-27000,-27000,-27000,-18500,-27000,24140,0
-13500,-27000,-27000,-23823,-27000,-27000,-27000,-24318,-27000,22090,1800,0,-27000,-27000,-27000,-20800,-16200,24141,0
-13500,-27000,-27000,-20647,-27000,-27000,9000,-26878,27000,-17181,-27000,27000,27000,-14538,-14896,-27000,-16200,24142,0
-13500,-27000,-27000,-20647,9000,-27000,-27000,-17979,-27000,12272,3600,-27000,-27000,-27000,-27000,-19000,-27000,24145,0
0,-27000,-27000,-23823,-27000,-27000,-27000,-27000,-27000,2454,23400,27000,-27000,-27000,-27000,-27000,-16200,24146,0
0,-27000,-19285,-17470,-27000,-27000,-18000,-24927,-27000,12272,-3600,-13500,-27000,-27000,-27000,-19539,-16200,24147,0
-13500,-27000,-27000,-17470,-27000,-27000,-27000,-18345,27000,-2454,-3600,-27000,-27000,-27000,-27000,-15000,-27000,24149,0
-13500,-27000,-27000,-23823,9000,-27000,-27000,-26512,-27000,12272,25200,-27000,-27000,-27000,-27000,-17940,-27000,24151,0
0,-27000,-19285,-17470,-27000,-27000,-18000,-13347,27000,7363,-9000,-13500,-27000,-27000,-27000,-14220,-16200,24152,0
