no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,RowNum,booking_status
0,-21600,-27000,-23823,-27000,27000,-18000,-24927,27000,2454,12600,-13500,-27000,-27000,-27000,-7400,-5400,12041,0
0,-27000,-27000,-17470,-27000,-27000,-27000,-23221,27000,17181,18000,-13500,-27000,-27000,-27000,-14100,-5400,12042,0
-13500,-27000,-27000,-23823,-27000,-27000,-27000,-26878,-27000,27000,-10800,0,-27000,-27000,-27000,-20500,-27000,12043,0
0,-27000,-19285,-17470,-9000,-27000,-27000,-15785,27000,-2454,25200,-13500,-27000,-27000,-27000,-16650,-16200,12044,0
0,-21600,-19285,-14294,-27000,-27000,-27000,-9325,27000,7363,23400,-13500,-27000,-27000,-27000,-14166,-27000,12045,0
0,-27000,-19285,-20647,-27000,-27000,-27000,-7984,-27000,22090,-25200,-27000,-27000,-27000,-27000,-22413,-27000,12046,0
0,-21600,-11571,-23823,-27000,27000,-18000,-11031,27000,2454,-25200,-13500,-27000,-27000,-27000,-14850,-16200,12047,0
0,-27000,-19285,-23823,-27000,-27000,-27000,-19564,-27000,17181,18000,-27000,-27000,-27000,-27000,-19776,-16200,12048,0
0,-27000,-27000,-14294,-27000,-27000,-27000,-2133,-27000,7363,-7200,-13500,-27000,-27000,-27000,-19350,5400,12050,0
0,-27000,-19285,-27000,-27000,-27000,-27000,-26390,27000,-7363,23400,0,-27000,-27000,-27000,-17100,-27000,12052,0
0,-16200,-11571,-23823,-27000,-27000,0,-26756,-27000,17181,-10800,-13500,-27000,-27000,-27000,-7400,5400,12053,0
0,-27000,-27000,-17470,-27000,-27000,-27000,-22489,27000,17181,-5400,-27000,-27000,-27000,-27000,-16500,-27000,12054,0
0,-27000,-11571,-17470,-27000,-27000,-18000,-9812,27000,-7363,23400,-13500,-27000,-27000,-27000,-16171,-5400,12056,0
0,-27000,-11571,-27000,-27000,-27000,-18000,-17613,27000,-7363,-27000,-13500,-27000,-27000,-27000,-12960,-27000,12057,0
13500,-27000,-19285,-17470,-27000,-27000,-27000,-17613,27000,-7363,0,-27000,-27000,-27000,-27000,-16460,-16200,12058,0
0,-27000,-27000,-23823,-27000,-27000,-18000,-27000,27000,27000,-10800,-13500,-27000,-27000,-27000,-13700,-27000,12059,0
0,-27000,-19285,-14294,-27000,-27000,-27000,-8227,27000,-7363,25200,-27000,-27000,-27000,-27000,-18925,-27000,12060,0
0,-27000,-19285,-20647,-27000,-27000,-27000,-4327,27000,-12272,10800,-27000,-27000,-27000,-27000,-19000,-27000,12062,0
0,-27000,-11571,-11117,-27000,-27000,-27000,-12616,27000,2454,-27000,-13500,-27000,-27000,-27000,-16205,-16200,12063,0
-13500,-27000,-27000,-23823,-9000,-27000,-27000,-27000,27000,-17181,-25200,-13500,-27000,-27000,-27000,-18100,-27000,12064,0
0,-27000,-11571,-27000,-9000,-27000,-27000,-10665,27000,2454,-23400,-13500,-27000,-27000,-27000,-18450,-5400,12065,0
0,-27000,-27000,-17470,-27000,-27000,-27000,-16029,27000,-12272,9000,-27000,-27000,-27000,-27000,-18838,-27000,12066,0
0,-27000,-27000,-14294,-27000,-27000,-27000,-25537,27000,-22090,0,-27000,-27000,-27000,-27000,-18500,-27000,12067,0
0,-27000,-19285,-17470,-27000,-27000,-27000,-19442,-27000,17181,-14400,-13500,-27000,-27000,-27000,-18075,-5400,12069,0
0,-27000,-11571,-11117,-27000,-27000,-18000,-25537,27000,7363,23400,-13500,-27000,-27000,-27000,-18068,-16200,12070,0
0,-27000,-19285,-27000,-27000,-27000,-9000,-23221,27000,-27000,-23400,-13500,-27000,-27000,-27000,-19848,-16200,12071,0
0,-27000,-27000,-23823,-27000,-27000,-27000,-26390,-27000,12272,5400,-13500,-27000,-27000,-27000,-13700,-16200,12072,0
-13500,-27000,-27000,-23823,-9000,-27000,-27000,-26756,27000,17181,-19800,-13500,-27000,-27000,-27000,-13600,-16200,12075,0
0,-27000,-27000,-14294,9000,-27000,-27000,-13957,27000,2454,-5400,-13500,-27000,-27000,-27000,-13050,-16200,12076,0
0,-27000,-27000,-20647,9000,-27000,-27000,-17979,-27000,12272,3600,-27000,-27000,-27000,-27000,-16100,-27000,12077,0
0,-27000,-11571,-23823,-27000,-27000,-18000,-26024,27000,-2454,3600,-13500,-27000,-27000,-27000,-11400,-16200,12078,0
0,-27000,-27000,-14294,-27000,-27000,-27000,-7618,-27000,27000,23400,-27000,-27000,-27000,-27000,-19950,-27000,12080,0
0,-27000,-19285,-17470,-27000,-27000,-27000,-27000,27000,-27000,16200,-13500,-27000,-27000,-27000,-17000,-16200,12081,0
-13500,-27000,-19285,-20647,-9000,-27000,-27000,-26756,27000,-22090,-19800,-13500,-27000,-27000,-27000,-21202,-16200,12083,0
13500,-27000,-11571,-20647,-27000,-27000,-18000,-22855,27000,7363,21600,-13500,-27000,-27000,-27000,-11902,-5400,12085,0
0,-27000,-27000,-23823,-9000,-27000,-27000,-23830,27000,17181,21600,-13500,-27000,-27000,-27000,-16000,-5400,12087,0
0,-27000,-11571,-27000,-9000,-27000,-27000,-24562,27000,12272,-9000,-13500,-27000,-27000,-27000,-18100,-5400,12088,0
0,-27000,-11571,-11117,-27000,-27000,-27000,-2864,27000,17181,10800,-27000,-27000,-27000,-27000,-18925,-27000,12089,0
0,-27000,-27000,-14294,-27000,-27000,-27000,-22733,27000,7363,25200,-13500,-27000,-27000,-27000,-15100,-5400,12090,0
-13500,-27000,-27000,-23823,-27000,-27000,-27000,-26634,27000,-7363,21600,-13500,-27000,-27000,-27000,-11500,-16200,12091,0
0,-27000,-19285,-17470,-27000,-27000,-27000,-12981,27000,7363,10800,-27000,-27000,-27000,-27000,-19775,-27000,12093,0
0,-27000,-27000,-23823,-27000,-27000,-18000,-26756,27000,12272,25200,-13500,-27000,-27000,-27000,-6500,-16200,12094,0
0,-27000,-27000,-17470,9000,-27000,-27000,-26878,27000,12272,23400,0,-27000,-27000,-27000,-12400,-27000,12096,0
0,-27000,-11571,-23823,-27000,-27000,-27000,-27000,-27000,7363,10800,-13500,-27000,-27000,-27000,-16333,-27000,12100,0
0,-27000,-27000,-23823,-27000,-27000,-27000,-22367,27000,22090,-7200,-13500,-27000,-27000,-27000,-14000,-5400,12101,0
-13500,-27000,-27000,-23823,-27000,-27000,-18000,-26634,27000,22090,-10800,13500,-27000,-27000,-27000,-17500,-27000,12102,0
0,-27000,-11571,-23823,-27000,-27000,-9000,12006,27000,7363,7200,-13500,-27000,-27000,-27000,-17505,-16200,12103,0
-13500,-27000,-27000,-20647,-27000,-27000,-18000,-26756,27000,22090,-25200,13500,-27000,-27000,-27000,-17600,-27000,12105,0
0,-27000,-27000,-17470,-27000,-27000,-27000,-20905,27000,-27000,-3600,-27000,-27000,-27000,-27000,-21800,-5400,12107,0
0,-27000,-19285,-20647,-27000,-27000,-27000,-26390,-27000,17181,5400,-27000,-27000,-27000,-27000,-18000,-27000,12108,0
-13500,-27000,-27000,-17470,-27000,-27000,-27000,-8593,27000,-27000,5400,-27000,-27000,-27000,-27000,-19900,-27000,12112,0
0,-27000,-27000,-20647,-27000,-27000,-27000,-17370,-27000,22090,-5400,-27000,-27000,-27000,-27000,-19500,-27000,12114,0
0,-27000,-19285,-17470,-27000,-27000,-18000,-21027,27000,-17181,-10800,-13500,-27000,-27000,-27000,-20451,-16200,12115,0
-13500,-27000,-27000,-23823,-27000,-27000,-27000,-26268,27000,17181,-5400,-13500,-27000,-27000,-27000,-17500,-27000,12116,0
-13500,-27000,-19285,-20647,-27000,-27000,-27000,-26146,27000,-27000,-21600,-13500,-27000,-27000,-27000,-18700,-27000,12117,0
0,-27000,-11571,-23823,-27000,-27000,-18000,-22977,27000,-2454,5400,-13500,-27000,-27000,-27000,-14760,-5400,12118,0
-13500,-27000,-27000,-23823,-27000,-27000,-27000,-19808,27000,-27000,21600,-27000,-27000,-27000,-27000,-18900,-27000,12119,0
-13500,-27000,-27000,-23823,-27000,-27000,-27000,-20539,27000,17181,-3600,-27000,-27000,-27000,-27000,-15000,-27000,12121,0
0,-27000,-11571,-23823,-27000,-27000,-18000,-22124,-27000,22090,-16200,-27000,-27000,-27000,-27000,-21000,-27000,12122,0
0,-27000,-27000,-20647,-27000,-27000,-18000,-10909,27000,-7363,19800,-13500,-27000,-27000,-27000,-12510,-16200,12123,0
-13500,-27000,-27000,-20647,-27000,-27000,-27000,-22733,-27000,17181,-14400,-13500,-27000,-27000,-27000,-17595,-16200,12125,0
0,-27000,-27000,-20647,-27000,-27000,-27000,-18467,27000,-2454,-23400,-27000,-27000,-27000,-27000,-17000,-27000,12127,0
0,-27000,-27000,-17470,-27000,-27000,-27000,-9568,27000,7363,16200,-27000,-27000,-27000,-27000,-17000,-27000,12128,0
0,-27000,-19285,-17470,-27000,-27000,-18000,-13469,27000,-2454,-12600,-13500,-27000,-27000,-27000,-13740,-16200,12130,0
0,-27000,-19285,-20647,-27000,-27000,-27000,-20051,27000,-2454,-10800,-27000,-27000,-27000,-27000,-17933,-16200,12131,0
-13500,-27000,-27000,-20647,-27000,-27000,-27000,-19198,-27000,12272,16200,-13500,-27000,-27000,-27000,-8000,-16200,12132,0
0,-21600,-11571,-11117,-27000,-27000,-27000,4693,27000,17181,10800,-13500,-27000,-27000,-27000,-16132,5400,12133,0
0,-27000,-11571,-23823,-9000,-27000,-27000,-24318,27000,-27000,-12600,-13500,-27000,-27000,-27000,-20425,-27000,12134,0
-13500,-27000,-27000,-23823,-9000,-27000,-27000,-22611,27000,17181,-5400,-13500,-27000,-27000,-27000,-16740,-5400,12135,0
-13500,-27000,-27000,-23823,-27000,-27000,-27000,-26512,27000,12272,-1800,-13500,-27000,-27000,-27000,-11100,-5400,12136,0
0,-27000,-27000,-23823,-9000,-27000,-27000,-11031,27000,2454,-16200,-13500,-27000,-27000,-27000,-16650,-16200,12137,0
0,-21600,-19285,-17470,-27000,27000,-27000,-21758,27000,-17181,9000,-13500,-27000,-27000,-27000,-14900,-5400,12139,0
0,-27000,-27000,-23823,-27000,-27000,-27000,-19320,27000,2454,12600,-13500,-27000,-27000,-27000,-16470,-16200,12142,0
-13500,-27000,-27000,-23823,-27000,-27000,-18000,-26146,27000,12272,-5400,-13500,-27000,-27000,-27000,-8600,-5400,12143,0
13500,-27000,-27000,-20647,-27000,-27000,-18000,-16760,27000,12272,-12600,-13500,-27000,-27000,-27000,-9270,-5400,12144,0
