Size,Weight,Sweetness,Crunchiness,Juiciness,Ripeness,Acidity,RowNum,Quality
11,-83,-156,-114,225,-75,240,2,1
-317,-83,-178,-137,-494,137,-320,5,1
-370,-340,134,-204,171,379,-510,8,1
-34,23,-416,-15,-33,104,200,9,1
-243,-72,-124,-145,182,302,-300,10,1
24,-139,-167,173,-408,-139,-230,12,1
-116,-150,-211,16,236,368,-76,16,1
10,262,-232,289,-26,-79,230,18,1
-201,-251,-351,1,365,621,53,20,1
-211,-5,43,-12,247,14,300,22,1
57,-11,-211,26,-12,-46,190,23,1
97,-83,-53,110,-526,-269,-160,24,1
-95,-318,-92,-19,-376,115,-400,25,1
254,147,-200,194,-181,-30,-260,27,1
190,262,-167,99,-111,-214,-140,28,1
-21,240,-167,-9,-121,16,140,29,1
85,-184,-330,-109,-365,214,-320,30,1
-20,-50,276,-46,472,-445,540,33,1
-59,-206,-416,9,32,478,-118,35,1
169,-83,-72,131,-32,-148,90,40,1
-116,-228,221,-27,-121,71,-190,42,1
128,156,46,78,-247,-379,-2,43,1
-105,373,-221,21,128,181,290,47,1
-307,145,-124,-2,96,214,45,48,1
-74,329,-254,13,-77,170,270,49,1
-1,-128,-211,-94,96,30,120,51,1
-455,161,-70,-225,-22,280,-79,61,1
-307,-83,178,99,-63,4,140,62,1
-127,195,189,99,257,-236,260,67,1
-74,43,-178,-81,-152,225,-31,68,1
0,-284,-113,225,-322,-96,-320,69,1
106,-318,167,-37,-90,258,-220,70,1
101,-128,-470,-113,204,203,100,72,1
46,-50,79,99,-429,-126,33,73,1
-190,-72,-156,-70,-290,225,-170,74,1
138,99,-67,-35,8,-147,7,77,1
-190,151,-265,-161,75,225,-160,78,1
-190,-117,167,162,-41,-171,-200,79,1
296,-17,-406,-144,214,82,-190,82,1
-9,-228,-221,68,20,379,-140,85,1
-105,27,-189,-24,23,214,-73,88,1
180,85,-189,57,-30,-41,-13,89,1
-30,-195,-71,173,-49,181,110,92,1
52,-161,-514,-60,85,511,-190,94,1
-23,-161,-146,-99,311,291,-180,96,1
-158,-318,74,110,-105,18,-370,102,1
-127,71,243,120,30,-144,190,104,1
-3,-83,-44,-137,-279,71,-200,105,1
57,-262,-20,68,-483,21,-180,108,1
211,-262,54,23,-247,159,-67,109,1
-169,-106,-33,-28,53,-80,520,113,1
-137,-206,-200,-32,300,38,500,114,1
52,-106,-58,162,171,-13,160,115,1
-74,-273,-286,-144,322,280,44,116,1
-105,-50,-63,120,-236,16,250,117,1
-20,-217,-92,36,-343,126,-190,119,1
-360,-21,178,162,-111,32,150,120,1
-40,59,-167,47,-137,71,2,121,1
-296,-22,-92,-29,-77,192,-180,122,1
116,-117,-124,152,-376,12,-32,123,1
-190,67,54,2,161,-147,320,126,1
-349,72,211,-68,268,-181,420,127,1
-222,29,-92,16,128,192,14,128,1
-84,-83,74,204,-85,-175,290,129,1
-317,-128,112,-137,419,-51,360,130,1
56,-262,-243,89,-42,159,-360,134,1
44,6,-156,-78,0,-73,110,136,1
69,-251,9,-97,-376,-27,-320,137,1
158,-206,-319,131,-236,247,-115,140,1
-222,-273,-92,26,-311,126,-390,141,1
180,10,-254,-130,204,-96,29,142,1
-74,58,37,152,-134,-38,44,143,1
-74,-83,-113,-28,85,82,150,144,1
-338,-106,70,-48,386,38,400,145,1
-222,10,-200,141,-505,-1,-47,151,1
-360,97,189,-80,257,-47,290,153,1
-137,-173,83,-5,-279,-12,-240,154,1
243,-14,-308,-66,-30,-258,120,156,1
-158,-50,38,215,-311,126,-10,157,1
92,-139,-395,-30,118,247,-5,158,1
-275,-22,-395,-12,-440,368,-96,160,1
391,181,-16,583,-537,-720,330,161,1
190,-35,-286,16,-89,-56,140,163,1
-95,26,-81,152,-38,159,-44,164,1
5,273,6,289,-166,-478,150,165,1
-55,-161,-50,131,-247,203,-230,166,1
-232,-161,-102,-75,-125,71,210,171,1
-40,-217,-276,89,-166,533,-240,173,1
-275,17,265,-178,128,-98,-250,175,1
222,-173,265,68,-214,-258,-116,176,1
-285,-94,-156,-60,42,302,-20,178,1
-232,14,-73,-194,-6,291,-130,182,1
-487,-17,-24,110,64,346,180,184,1
9,-106,-492,-247,440,214,240,185,1
-127,262,-81,-96,-322,28,190,186,1
-243,-61,-189,-147,-128,346,-210,187,1
-243,-83,135,-87,107,236,-97,189,1
-137,141,-51,-115,-193,126,66,192,1
-180,-10,-54,-29,118,71,6,193,1
-264,-6,146,-5,31,-28,65,194,1
180,-72,74,47,-31,-456,400,195,1
-137,117,146,36,75,-93,-60,197,1
-148,-139,-48,-105,193,-62,480,198,1
-381,-139,16,78,-120,126,250,199,1
-84,-94,-156,-106,128,82,140,200,1
-423,93,276,21,161,-39,360,201,1
-254,112,-308,-97,-80,379,-36,203,1
52,-150,-146,131,-236,23,-190,205,1
-412,-24,0,-40,279,203,160,206,1
-59,-72,-319,-157,-101,390,-240,209,1
35,-72,-167,-115,-176,23,-300,211,1
-74,-117,395,152,118,-291,-170,214,1
-169,-217,-71,-268,53,335,-460,225,1
104,-94,-135,89,-51,-76,130,226,1
-74,-295,-416,-153,-462,159,-670,227,1
-84,100,2,99,-376,-291,-45,229,1
-95,195,-319,131,-51,82,61,230,1
180,35,-178,-84,322,-192,-69,233,1
-116,4,-135,110,-182,159,33,234,1
-201,3,-21,47,42,247,48,236,1
55,-61,-55,120,-204,0,-45,237,1
370,53,-135,257,-204,-269,90,238,1
-52,71,-178,120,-214,-97,-84,239,1
-201,-161,-92,78,85,225,250,240,1
-190,-117,351,57,75,-313,360,241,1
39,-16,-341,257,-214,-38,-102,242,1
-444,83,200,-136,-148,82,-6,243,1
-254,159,384,-54,279,-588,720,244,1
54,-94,-200,-34,64,137,-130,248,1
-423,-139,6,-204,85,192,-490,250,1
-285,94,276,383,-591,60,-160,253,1
-423,-72,-42,26,4,258,-180,256,1
-84,154,81,19,107,-225,67,259,1
-243,-50,167,25,-39,-135,300,261,1
-51,74,-92,-72,-22,71,-73,263,1
61,-50,-2,268,-440,-192,50,264,1
124,156,-200,-52,53,-104,110,265,1
-137,-31,14,110,-47,-3,230,266,1
83,-173,-438,-105,85,225,4,267,1
-127,-83,59,-96,13,291,-35,268,1
