pH,Temprature,Taste,Odor,Fat ,Turbidity,Colour,RowNum,Grade
5,-19,-32,32,32,32,32,712,0
3,-27,32,-32,32,-32,32,714,0
5,-19,-32,32,32,32,32,720,0
3,-19,-32,32,32,32,10,726,0
5,-19,32,32,32,32,-10,729,0
3,-31,-32,32,32,32,32,736,0
5,-19,-32,32,32,32,32,742,0
2,-27,32,32,32,32,32,746,0
5,-25,32,32,32,32,32,750,0
5,-19,32,32,32,-32,-10,754,0
3,-29,32,32,32,32,32,757,0
4,-27,32,-32,32,-32,32,768,0
5,-19,-32,32,32,32,32,773,0
3,-29,32,32,32,32,32,780,0
4,-27,32,-32,32,-32,32,791,0
5,-19,-32,32,32,32,32,796,0
3,-19,-32,32,32,32,10,802,0
5,-19,32,32,32,32,-10,805,0
5,-30,-32,32,32,-32,23,807,0
3,-29,32,-32,32,-32,32,811,0
2,-27,32,32,32,32,32,815,0
4,-27,32,-32,32,-32,32,820,0
3,-22,32,-32,32,32,10,822,0
5,-19,-32,32,32,32,32,825,0
3,-27,32,-32,32,-32,32,827,0
3,-19,-32,32,32,32,10,831,0
5,-19,-32,32,32,32,32,833,0
3,-19,-32,32,32,32,10,839,0
5,-19,32,32,32,32,-10,842,0
5,-30,-32,32,32,-32,23,844,0
3,-29,32,-32,32,-32,32,848,0
2,-27,32,32,32,32,32,852,0
5,-25,32,32,32,32,32,856,0
5,-19,32,32,32,-32,-10,860,0
5,-25,32,32,32,32,32,863,0
5,-19,32,32,32,-32,-10,867,0
3,-29,32,32,32,32,32,870,0
4,-27,32,-32,32,-32,32,875,0
5,-22,32,-32,32,-32,10,877,0
5,-19,-32,32,32,32,32,880,0
3,-25,32,32,32,32,32,883,0
3,-19,-32,32,32,32,10,886,0
5,-19,32,32,32,32,-10,889,0
3,-29,32,-32,32,-32,32,891,0
2,-27,32,32,32,32,32,895,0
4,-27,32,-32,32,-32,32,897,0
5,-19,-32,32,32,32,32,902,0
3,-29,32,32,32,32,32,909,0
5,-19,-32,32,32,32,32,919,0
2,-27,32,32,32,32,32,923,0
5,-25,32,32,32,32,32,927,0
3,-27,-32,32,32,32,32,930,0
5,-19,32,32,32,-32,-10,931,0
3,-29,32,32,32,32,32,934,0
3,-19,-32,32,32,32,10,945,0
5,-19,32,32,32,32,-10,948,0
5,-30,-32,32,32,-32,23,950,0
3,-29,32,-32,32,-32,32,954,0
5,-24,32,32,32,-32,32,957,0
2,-27,32,32,32,32,32,958,0
4,-27,32,-32,32,-32,32,963,0
3,-22,32,-32,32,32,10,965,0
4,-27,32,-32,32,-32,32,970,0
5,-22,32,-32,32,-32,10,972,0
5,-19,-32,32,32,32,32,975,0
3,-19,-32,32,32,32,10,981,0
5,-19,32,32,32,32,-10,984,0
5,-30,-32,32,32,-32,23,986,0
3,-29,32,-32,32,-32,32,990,0
2,-27,32,32,32,32,32,994,0
4,-27,32,-32,32,-32,32,996,0
5,-19,-32,32,32,32,32,1001,0
3,-19,-32,32,32,32,10,1011,0
5,-19,-32,32,32,32,32,1013,0
3,-19,-32,32,32,32,10,1019,0
5,-19,32,32,32,32,-10,1022,0
5,-30,-32,32,32,-32,23,1024,0
3,-29,32,-32,32,-32,32,1028,0
2,-27,32,32,32,32,32,1032,0
5,-25,32,32,32,32,32,1036,0
5,-19,32,32,32,-32,-10,1040,0
5,-25,32,32,32,32,32,1043,0
5,-19,32,32,32,-32,-10,1047,0
3,-29,32,32,32,32,32,1050,0
4,-27,32,-32,32,-32,32,1055,0
