pH,Temprature,Taste,Odor,Fat ,Turbidity,Colour,RowNum,Grade
22,9,32,32,32,32,-6,2,1
32,-32,32,32,-32,32,32,3,1
-7,-19,32,-32,32,32,10,6,1
-17,-2,-32,32,32,32,10,7,1
18,4,32,-32,32,32,32,8,1
-6,-13,-32,32,32,32,32,11,1
23,-8,-32,32,32,32,32,12,1
11,32,32,-32,32,32,32,13,1
-15,-27,32,-32,32,-32,32,16,1
-32,-25,32,32,32,32,32,17,1
27,-22,32,-32,32,32,10,18,1
-17,-27,-32,32,32,32,32,22,1
22,9,-32,-32,-32,-32,-6,26,1
2,-25,-32,32,-32,32,10,31,1
4,-13,32,32,32,-32,-10,34,1
23,-8,-32,32,-32,-32,32,36,1
11,3,-32,-32,-32,-32,32,37,1
-32,-25,32,-32,-32,-32,32,41,1
27,-22,32,32,32,32,2,42,1
32,-32,32,32,-32,32,32,48,1
-7,-19,32,-32,32,32,10,51,1
-17,-2,-32,32,32,32,10,52,1
18,4,32,-32,32,32,32,53,1
-6,-13,-32,32,32,32,32,56,1
23,-8,-32,32,32,32,32,57,1
11,32,32,-32,32,32,32,58,1
-32,-25,32,32,32,32,32,62,1
27,-22,32,-32,32,32,10,63,1
23,-8,-32,32,32,32,32,64,1
-15,-27,32,-32,32,-32,32,68,1
-32,-25,32,32,32,32,32,69,1
27,-22,32,-32,32,32,10,70,1
-17,-27,-32,32,32,32,32,74,1
22,9,-32,-32,-32,-32,-6,78,1
11,3,-32,-32,-32,-32,32,83,1
-32,-25,32,-32,-32,-32,32,87,1
27,-22,32,32,32,32,2,88,1
3,-13,-32,-32,-32,32,10,90,1
3,-13,-32,-32,-32,-32,32,92,1
32,-32,32,32,-32,32,32,94,1
32,-32,32,32,-32,32,32,96,1
-7,-19,32,-32,32,32,10,99,1
-17,-2,-32,32,32,32,10,100,1
18,4,32,-32,32,32,32,101,1
-6,-13,-32,32,32,32,32,104,1
11,32,32,-32,32,32,32,106,1
5,-13,-32,-32,32,-32,32,107,1
-32,-25,32,32,32,32,32,110,1
23,-8,-32,32,32,32,32,112,1
-32,-25,32,32,32,32,32,117,1
27,-22,32,-32,32,32,10,118,1
2,-8,32,-32,32,-32,-6,124,1
22,9,-32,-32,-32,-32,-6,126,1
-17,-27,-32,32,32,32,32,130,1
22,9,-32,-32,-32,-32,-6,134,1
11,3,-32,-32,-32,-32,32,139,1
-32,-25,32,-32,-32,-32,32,143,1
27,-22,32,32,32,32,2,144,1
3,-13,-32,-32,-32,32,10,146,1
3,-13,-32,-32,-32,-32,32,148,1
32,-32,32,32,-32,32,32,150,1
32,-32,32,32,-32,32,32,152,1
-7,-19,32,-32,32,32,10,155,1
-17,-2,-32,32,32,32,10,156,1
18,4,32,-32,32,32,32,157,1
-6,-13,-32,32,32,32,32,160,1
11,32,32,-32,32,32,32,162,1
5,-13,-32,-32,32,-32,32,163,1
4,-13,32,32,32,-32,-10,166,1
23,-8,-32,32,-32,-32,32,168,1
11,3,-32,-32,-32,-32,32,169,1
-32,-25,32,-32,-32,-32,32,173,1
27,-22,32,32,32,32,2,174,1
32,-32,32,32,-32,32,32,180,1
-7,-19,32,-32,32,32,10,183,1
-17,-2,-32,32,32,32,10,184,1
18,4,32,-32,32,32,32,185,1
-6,-13,-32,32,32,32,32,188,1
23,-8,-32,32,32,32,32,189,1
11,32,32,-32,32,32,32,190,1
-32,-25,32,32,32,32,32,194,1
27,-22,32,-32,32,32,10,195,1
23,-8,-32,32,32,32,32,196,1
-15,-27,32,-32,32,-32,32,200,1
-32,-25,32,32,32,32,32,201,1
27,-22,32,-32,32,32,10,202,1
-7,-19,32,-32,32,32,10,206,1
-17,-2,-32,32,32,32,10,207,1
18,4,32,-32,32,32,32,208,1
-6,-13,-32,32,32,32,32,211,1
23,-8,-32,32,32,32,32,212,1
11,32,32,-32,32,32,32,213,1
-32,-25,32,32,32,32,32,217,1
27,-22,32,-32,32,32,10,218,1
23,-8,-32,32,32,32,32,219,1
-15,-27,32,-32,32,-32,32,223,1
-32,-25,32,32,32,32,32,224,1
27,-22,32,-32,32,32,10,225,1
-17,-27,-32,32,32,32,32,229,1
22,9,-32,-32,-32,-32,-6,233,1
11,3,-32,-32,-32,-32,32,238,1
-32,-25,32,-32,-32,-32,32,242,1
27,-22,32,32,32,32,2,243,1
-32,-25,32,32,32,32,32,246,1
23,-8,-32,32,32,32,32,248,1
-32,-25,32,32,32,32,32,253,1
27,-22,32,-32,32,32,10,254,1
