pH,Temprature,Taste,Odor,Fat ,Turbidity,Colour,RowNum,Grade
22,9,-32,-32,-32,-32,-6,695,1
11,3,-32,-32,-32,-32,32,700,1
-32,-25,32,-32,-32,-32,32,704,1
27,-22,32,32,32,32,2,705,1
-32,-25,32,32,32,32,32,708,1
23,-8,-32,32,32,32,32,710,1
-32,-25,32,32,32,32,32,715,1
27,-22,32,-32,32,32,10,716,1
-15,-27,32,-32,32,-32,32,722,1
-32,-25,32,32,32,32,32,723,1
27,-22,32,-32,32,32,10,724,1
-17,-27,-32,32,32,32,32,728,1
-7,-19,32,-32,32,32,10,730,1
-17,-2,-32,32,32,32,10,731,1
18,4,32,-32,32,32,32,732,1
-6,-13,-32,32,32,32,32,735,1
11,32,32,-32,32,32,32,737,1
5,-13,-32,-32,32,-32,32,738,1
4,-13,32,32,32,-32,-10,741,1
23,-8,-32,32,-32,-32,32,743,1
11,3,-32,-32,-32,-32,32,744,1
-32,-25,32,-32,-32,-32,32,748,1
27,-22,32,32,32,32,2,749,1
32,-32,32,32,-32,32,32,755,1
-7,-19,32,-32,32,32,10,758,1
-17,-2,-32,32,32,32,10,759,1
18,4,32,-32,32,32,32,760,1
-6,-13,-32,32,32,32,32,763,1
23,-8,-32,32,32,32,32,764,1
11,32,32,-32,32,32,32,765,1
-32,-25,32,32,32,32,32,769,1
27,-22,32,-32,32,32,10,770,1
23,-8,-32,32,32,32,32,771,1
-15,-27,32,-32,32,-32,32,775,1
-32,-25,32,32,32,32,32,776,1
27,-22,32,-32,32,32,10,777,1
-7,-19,32,-32,32,32,10,781,1
-17,-2,-32,32,32,32,10,782,1
18,4,32,-32,32,32,32,783,1
-6,-13,-32,32,32,32,32,786,1
23,-8,-32,32,32,32,32,787,1
11,32,32,-32,32,32,32,788,1
-32,-25,32,32,32,32,32,792,1
27,-22,32,-32,32,32,10,793,1
23,-8,-32,32,32,32,32,794,1
-15,-27,32,-32,32,-32,32,798,1
-32,-25,32,32,32,32,32,799,1
27,-22,32,-32,32,32,10,800,1
-17,-27,-32,32,32,32,32,804,1
22,9,-32,-32,-32,-32,-6,808,1
11,3,-32,-32,-32,-32,32,813,1
-32,-25,32,-32,-32,-32,32,817,1
27,-22,32,32,32,32,2,818,1
23,-8,-32,32,32,32,32,823,1
-32,-25,32,32,32,32,32,828,1
27,-22,32,-32,32,32,10,829,1
