fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,RowNum,quality
-1466,-2047,-2470,-2893,-2327,-1503,-2767,-491,-1100,-2627,-2250,694,5
-1466,-2047,-2470,-2893,-2327,-1503,-2767,-491,-1100,-2627,-2250,696,5
-1811,-2270,-1429,-2760,-2490,-339,-1825,-70,383,-2666,-2250,697,5
-1811,-2270,-1429,-2760,-2490,-339,-1825,-70,383,-2666,-2250,698,5
-1179,-1869,-1365,-2938,-2501,-727,-2354,-491,-639,-2432,-1350,703,5
-1466,690,-2275,-2715,-2273,-2279,-2652,-491,-742,-2666,-1650,710,5
-1869,-1558,-2340,-2849,-2533,-2376,-2859,-303,793,-2160,-1250,715,5
-1869,-1513,-2665,-2715,-2707,-2958,-3181,-584,-127,-2432,-1150,718,5
-2214,-244,-3250,-2671,-2674,-630,-2193,-1519,588,-2510,-50,723,5
-1236,-133,-3250,-1825,-2349,-2861,-3066,678,-76,-2471,-2050,725,5
-1811,-1869,-2145,-2849,-2490,-727,-2216,-350,588,-2043,-1250,735,5
-1006,-1736,585,-3027,1112,-1794,-2354,-23,-1765,681,-2450,738,5
-2674,-1090,-2925,-2582,-2588,-1503,-2813,-2080,946,-2393,1250,739,5
-1524,-1914,-1625,-1914,-2251,-630,-1320,350,-1151,-2315,-2550,743,5
-1294,-1023,-975,-2404,-2446,-630,-2193,-23,-332,-2121,-850,754,5
-1581,-356,-1950,-44,-2316,-436,-1274,865,-895,-2276,-2450,756,5
-949,-2136,975,-801,-2512,-3055,-3204,537,-537,-2276,-650,759,5
-1984,-1647,-2730,-2849,-2577,533,-1917,-818,-1305,-2627,-2050,764,5
-949,-1469,-780,-2982,-2338,-2861,-2974,-163,-895,-2510,-2250,775,5
-2272,-1246,-1429,-2715,-2859,-2085,-2262,-1566,179,-2199,1150,780,5
-1236,-311,-2600,-2181,-2403,-2958,-3089,724,-76,-2627,-2150,782,5
-2674,-845,-3250,-2537,-2664,-2667,-3043,-2080,742,-2276,1250,792,5
-143,-1869,-1105,-2448,-2349,-630,-1343,631,-793,-1887,-1650,797,5
-1581,-1958,-2275,-2003,-2251,-533,-1228,397,-1202,-2276,-2550,804,5
-1696,-2359,-1755,-2626,-2664,48,-1780,-537,281,-2121,-1550,810,5
-1121,-1113,-1625,-2671,-2099,-2473,-2515,-397,-1151,-2471,-1850,817,5
-1121,-1113,-1625,-2671,-2099,-2473,-2515,-397,-1151,-2471,-1850,819,5
-719,-289,-1690,-2893,-2533,-2376,-2905,-70,-435,-1926,-1650,823,5
-2674,289,-3250,-2715,-2935,-1697,-1596,-1660,1561,-1693,-250,833,5
-258,-2047,-455,-2916,-2642,-2861,-3135,-1052,-946,-2744,-250,835,5
-1984,-845,-2795,-2938,-2620,-1794,-1986,-631,-435,-2199,-2350,836,5
-2042,-934,-1755,-2715,-2512,-2279,-654,-771,-76,-1809,-750,837,5
-2042,-934,-1755,-2715,-2512,-2279,-654,-771,-76,-1809,-750,838,5
-2157,155,-3250,-2626,-1578,-2764,-3112,-724,946,-2549,-850,841,5
-201,-489,-2015,-1068,-2175,-145,-1642,818,-1202,-2393,-2250,851,5
-201,-578,325,-2893,-1904,-1018,-2193,210,-127,-875,-1650,854,5
-603,-1736,-1755,-2493,-2392,-1600,-1619,1005,-1151,-2549,-2250,865,5
-1581,-1202,-3055,-1825,-2512,-727,-2331,-537,-1816,-2705,-2450,866,5
-719,-1202,-1625,-2760,-2251,-2570,-2905,303,-537,-1732,-2050,867,5
-1524,-1869,-1365,-2715,-2566,-1503,-1871,70,127,-2043,-2150,869,5
-1409,-155,-3185,-2493,-2577,1309,-1320,-397,25,-2121,-850,871,5
-1524,-1869,-1365,-2715,-2566,-1503,-1871,70,127,-2043,-2150,872,5
-1581,-1068,-1950,-2893,-2555,145,-2009,-1005,-1407,-2977,-2350,878,5
-1121,-1291,-1820,-2582,-2490,-2376,-1412,584,-25,-2121,-2150,879,5
-1639,-1335,-2015,-2849,-2490,-1891,-2606,-210,588,-1887,-1150,880,5
-1639,-489,-2795,-2893,-2446,-1891,-2285,-958,-1305,-2666,-1650,881,5
-1581,-1202,-2340,-2671,-2544,-727,-2009,-350,-486,-2238,-1850,883,5
-1811,-578,-3250,-2849,-2045,-2764,-3066,-350,383,-2276,-1850,884,5
-1351,-845,-3250,-3027,-2338,-2764,-3089,-631,281,-2276,-2150,885,5
-1409,-667,-2860,-2804,-2522,-1406,-2583,-350,127,-1848,-750,886,5
-1581,-1157,-1820,-2849,-2490,824,-2009,-958,-1407,-2899,-2450,887,5
-949,-957,1170,-2849,992,-1503,-2101,-350,-1816,-58,-2350,890,5
-258,-1780,-780,-2537,-2501,-48,-1871,116,-1151,-2276,-1850,892,5
-2502,-1736,-3250,-2804,-2544,-921,-2377,-1473,639,-2471,-450,900,5
-1581,-1202,-1950,-2760,-2588,-48,-2377,-1005,-1407,-2860,-2350,901,5
-1869,-1914,-2015,-2626,-2609,-1600,-2560,-1052,76,-2354,-750,912,5
603,-2136,0,-2849,-2403,-1406,-2308,116,-1151,-2315,-1150,913,5
-1869,-1113,-1300,-1647,-2642,-1406,-861,958,-383,19,-1450,914,5
-1869,-1113,-1300,-1647,-2642,-1406,-861,958,-383,19,-1450,915,5
-1524,-489,-3250,-2804,-2295,-2764,-3112,-865,-76,-2238,-650,916,5
-2099,-979,-3250,-1736,-2371,1600,-1607,-678,-895,-2782,-2150,919,5
-1524,-267,-1885,-2626,-2436,-1309,-1825,-724,-1305,-2821,-2450,926,5
-1581,-1068,-1560,-2804,-2588,-1018,-1366,-444,-383,-2471,-1850,927,5
-316,-712,-1170,-2537,-2425,-1212,-1297,397,-435,-2121,-1550,928,5
-1869,-1023,-2600,-3027,-2609,-727,-1940,-491,-486,-2160,-2450,929,5
-1294,1469,-1885,-2804,-2479,-1988,-2446,-818,-179,-2705,-1150,931,5
-661,-2270,-520,-2849,-2750,-2473,-2974,-1473,-998,-2393,-250,936,5
-2157,-1469,-2535,-2849,-2588,-2085,-2515,-724,-179,-2510,-2350,941,5
-1409,89,-1560,-1958,-2219,-339,-1848,-163,-588,-2744,-2450,944,5
-661,-333,-1820,-2671,-2522,-2182,-2285,257,-998,-2549,-2050,946,5
-1754,-66,-3250,-2760,-1578,-2958,-3135,-444,76,-2510,-1650,947,5
-2444,-1558,-3250,-3027,-2761,-1891,-2790,-1192,-76,-2782,-2150,949,5
-2444,-1558,-3250,-3027,-2761,-1891,-2790,-1192,-76,-2782,-2150,950,5
-2444,-1558,-3250,-3027,-2761,-1891,-2790,-1192,-76,-2782,-2150,951,5
719,-1914,-130,-2493,-2544,-2570,-2928,678,-1458,-2471,-650,956,5
-2387,-1157,-3185,-2715,-2772,-2861,-3089,-1098,742,-2354,-250,958,5
