fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,RowNum,quality
201,-2537,-715,3249,-2631,-2764,-2859,2782,-1305,-1965,-2450,339,5
201,-2181,650,-2671,-1730,-2667,-2974,724,-1714,-408,-2250,341,5
-28,-801,-715,-2804,-2794,-2764,-2997,257,-1049,-2705,-1650,342,5
-1754,-2270,-1170,-2537,-2403,824,-792,-210,-281,-1459,-550,351,5
-1006,-868,-65,-934,-2056,-48,80,1847,-332,-97,-2350,366,5
-546,-2003,-65,-2537,-2457,339,-126,350,-793,-2393,-2250,370,5
-603,-1869,-65,-2582,-2446,-1115,-723,257,-742,-2043,-2150,371,5
-201,-979,-1690,-2582,-2544,-2764,-2629,163,-1458,-2315,-2250,373,5
949,-2092,-65,-2448,-2316,-2182,-2423,1379,-1100,-2160,-1350,375,5
949,-2092,-65,-2448,-2316,-2182,-2423,1379,-1100,-2160,-1350,376,5
-201,-979,-1690,-2582,-2544,-2764,-2629,163,-1458,-2315,-2250,380,5
546,-1558,1560,-1357,-2295,-2861,-2997,1192,-793,-2121,-450,383,5
-603,-1157,-1690,-2181,-2284,-1406,-2308,818,-588,-1926,-2050,384,5
-546,-601,-1690,-2715,-2620,-2861,-2928,-210,-1305,-2238,-1750,386,5
-661,-1691,-65,-2493,-2360,339,-953,537,-1509,-2238,-2550,389,5
-3019,845,-1690,-2938,-2837,-242,-1182,-1706,1868,-2121,-150,396,5
3019,-912,-65,-1780,-2349,-2376,-2859,2782,-2328,-1654,-550,397,5
3077,-912,-65,-1780,-2349,-2376,-2859,2782,-2328,-1654,-550,399,5
1409,-1113,-65,-2404,-2566,-2861,-2951,1098,-1202,-2315,-250,401,5
-719,-1380,-65,-2359,-2360,630,-861,537,-1509,-2160,-2450,402,5
1409,-1113,-65,-2404,-2566,-2861,-2951,1098,-1202,-2315,-250,405,5
-28,-2715,-65,-2582,-2566,-2376,-2744,350,-1202,-2160,-1250,410,5
-834,-1825,-65,-2404,-2479,-1600,-838,537,-383,-2199,-2150,412,5
-834,-1691,-65,-2359,-2457,-1697,-861,537,-435,-2199,-1850,413,5
1179,-1558,-65,-2671,-2414,-2861,-3066,1379,-946,-2821,-2050,415,5
1179,-1558,-65,-2671,-2414,-2861,-3066,1379,-946,-2821,-2050,416,5
-1696,-534,-1690,-2804,-2208,-1600,-1045,-163,-588,-2238,-2350,418,5
-719,-1780,-65,-2493,-2468,-1309,-1665,771,-127,-2315,-1950,420,5
-719,-1780,-65,-2493,-2468,-1309,-1665,771,-127,-2315,-1950,422,5
-201,-1602,519,-2092,-2360,-2473,-2400,1379,-435,-2276,-2650,423,5
-776,-1135,-585,-133,-2446,-436,-884,1285,-537,-2315,-2350,424,5
-1466,-66,-3250,-2493,-2501,-2764,-3066,210,-383,-2510,-2350,427,5
-834,-2715,260,-2537,-2479,-921,-2078,584,76,-2432,-2450,432,5
1696,-2092,325,-2448,-2501,-2861,-3020,1847,-2021,-2432,-2250,433,5
-373,-1113,0,-2626,-2522,-630,-1757,1239,639,-2315,-1950,435,5
603,-2136,-585,-2626,-2425,-2764,-3020,818,-1458,-1420,-2350,437,5
-1121,-1380,-1690,-2136,-2555,-1794,-815,257,-537,-2160,-2250,438,5
-1179,-1291,-1755,-2136,-2533,-1988,-999,257,-486,-2121,-2250,439,5
-143,-1202,-1820,-2804,-2512,-2473,-2652,163,-1253,-2393,-2150,440,5
-1984,-712,-3250,-1157,-2034,-1309,-2055,1239,435,-1732,-1450,441,5
-834,-1113,-1365,-2671,-2316,-2861,-3043,818,-76,-2627,-2550,442,5
-834,-1113,-1365,-2671,-2316,-2861,-3043,818,-76,-2627,-2550,443,5
-1524,-734,-1755,-2626,-2175,-1406,-1458,-303,-844,-2160,-2350,445,5
86,-2537,260,-2448,-2240,-2861,-2951,818,-639,-2082,-2150,447,5
-1351,-2226,-1885,-2804,-2588,1115,-1045,-303,-537,-2276,-2150,450,5
-891,-44,-3250,-3027,-2674,-1018,-2629,-771,-537,-2393,-1950,451,5
-373,133,-1429,-2582,-2446,-436,-11,397,-690,-2471,-2250,452,5
-431,155,-1495,-2626,-2468,-339,-57,350,-690,-2471,-2250,453,5
-201,-1380,-325,-2626,-2609,-1794,-2469,958,76,-2121,-2250,455,5
-201,-1380,-325,-2626,-2609,-1794,-2469,958,76,-2121,-2250,456,5
-201,-1380,-325,-2626,-2609,-1794,-2469,958,76,-2121,-2250,457,5
258,-1869,-715,-2671,-2229,-2570,-2652,724,-2482,-2588,-2050,461,5
3250,-2181,975,-311,-2338,-1212,-1757,257,-2021,-1264,3250,462,5
-949,-1691,-195,-2582,-2577,-2667,-2721,397,-1509,-2744,-2150,464,5
-316,-1335,-2145,-2359,-2436,-1406,-2170,1379,-1202,-2160,-2250,465,5
258,-1869,-715,-2671,-2229,-2570,-2652,724,-2482,-2588,-2050,466,5
-1581,-1914,-1235,-2938,-2512,-1891,-2423,350,-332,-2043,-2650,470,5
-488,-1157,-2340,-2760,-2468,-921,-2285,491,-1202,-2354,-1950,472,5
-1179,-534,-1885,-2893,-2577,-2861,-3089,-116,-895,-2510,-2150,476,5
-1179,-534,-1885,-2893,-2577,-2861,-3089,-116,-895,-2510,-2150,477,5
-949,-222,-2535,-2626,-2468,-2182,-2675,397,127,-2666,-1750,479,5
-1121,-311,-2600,-2493,-2501,1018,-1389,584,537,-2471,-1650,480,5
316,-2626,-325,-2181,-2729,-1406,-2262,70,-1253,-2432,-2050,481,5
-1006,-1736,-1235,-2648,-2533,-242,-2055,444,-230,-2432,-1850,483,5
-1236,-311,-1755,-2493,-2739,-2861,-3043,-23,-25,-2354,-350,484,5
-258,578,-1170,-2626,-2533,48,103,444,-639,-2666,-2250,485,5
-1236,-311,-1755,-2493,-2739,-2861,-3043,-23,-25,-2354,-350,486,5
-1466,-845,-2990,-2938,-2957,-2958,-3181,-397,127,-2705,-2250,487,5
-1236,-2092,-130,-2849,-1676,-2861,-2997,257,-383,-447,-2250,488,5
-603,311,-1690,-2493,-2436,-2182,-1251,1285,537,-2432,-1850,489,5
-949,-1602,65,-2760,1199,-1794,-1963,397,-1765,19,-2650,490,5
-719,-1647,-1170,-2404,-2468,-1309,-585,631,-281,-2121,-2250,491,5
-719,-1691,-1235,-2448,-2468,-1018,-516,631,-332,-2160,-2250,492,5
-488,-1046,-1429,-2226,-2436,-1600,-1734,1379,-332,-2471,-1950,495,5
-1064,823,-2275,-979,-2588,-2279,-2147,911,-25,-2627,-1750,502,5
-1869,-311,-2730,-2760,-2371,-2376,-2951,-678,127,-2705,-1650,503,5
-1639,-1602,-2015,-2315,-2544,-1794,-2537,-210,-25,-2549,-1150,504,5
201,779,-455,-2404,-2512,-1309,-1458,678,-1612,-2315,-1550,506,5
-776,-1268,-1040,-2315,-2371,-1794,-815,1285,25,-2160,-2150,507,5
