fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,RowNum,quality
-2329,-2181,-1690,-2671,-2349,-1503,-2423,-1145,998,-2315,50,408,6
719,-2226,-65,-2181,-2620,-2376,-2537,1379,-281,-992,-650,409,6
201,-2404,-65,-2671,-2696,-1600,-2469,257,-1202,-2549,-1850,414,6
-2099,-2047,-65,-2893,-2620,-1115,34,-2267,-1305,-2588,-150,421,6
1236,-2003,65,-2760,-2739,-2764,-2836,1098,-1714,-2199,-2350,425,6
-1006,-1179,-2080,-2715,-2533,-2861,-2698,-163,-895,-2666,-1850,426,6
-1121,-1202,-2405,-2359,-2338,-1988,-1940,631,-1049,-2121,-2550,428,6
-834,-1647,-585,-2181,-2381,-824,-2193,537,-332,-2471,-1150,429,6
-86,-890,-845,-1380,-2186,-2279,-1894,2782,-281,-2043,-1250,430,6
-2272,-2181,-2015,-2226,-2566,-1891,-2492,-678,946,-2510,1050,431,6
-1581,-934,-3250,-2582,-2544,-1600,-2721,-257,-281,-2199,-1650,434,6
719,-2404,65,-2671,-2522,-1988,-2744,537,-1765,-914,-1850,436,6
-891,-1380,-1560,-2537,-2327,-2667,-2675,257,-537,-2199,-2350,444,6
-891,-1380,-1560,-2537,-2327,-2667,-2675,257,-537,-2199,-2350,446,6
-1524,-1958,-2340,-2315,-2436,-1309,-2400,-303,-281,-2315,-1150,448,6
-776,-2493,-975,-2804,-2653,-921,-2078,-23,-998,758,-1350,454,6
-2042,-1914,-1495,178,-2642,-1018,11,-1052,-1100,-2315,-350,460,6
-488,-2315,585,-2404,-2522,-2473,-2698,257,-1305,-2432,350,463,6
-1754,-1469,-2795,-3027,-2577,-2861,-2928,116,-281,-1381,-2050,468,6
-1754,-1469,-2795,-3027,-2577,-2861,-2928,116,-281,-1381,-2050,469,6
-1754,-1246,-2860,-2938,-2555,-2473,-2767,70,-76,-1809,-2050,471,6
-1121,-1602,-910,-2849,-971,-2764,-3020,444,-998,-2199,-2150,473,6
603,-2270,-325,-2760,-2490,-2764,-3043,818,-2226,-1965,-2450,474,6
603,-2270,-325,-2760,-2490,-2764,-3043,818,-2226,-1965,-2450,475,6
316,-2003,-585,-2671,-2468,-2667,-2997,631,-1509,-1926,-2350,478,6
-1294,-1780,-1755,-2671,-2360,-1794,-2721,-397,-844,-2627,-1450,482,6
-2962,-1691,-3120,-3071,-3011,-1600,-2377,-2314,2687,-2121,1150,493,6
-1869,-890,-3120,-2715,-2664,-2570,-2813,70,486,-1926,-2150,494,6
891,-2092,325,-2715,-2609,-2861,-2951,724,-1356,-2121,-850,496,6
201,756,-455,-2359,-2555,-824,-1366,631,-1509,-2315,-1550,497,6
-1869,-890,-3120,-2715,-2664,-2570,-2813,70,486,-1926,-2150,498,6
