fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,RowNum,quality
-1696,-890,-3250,-3116,-2674,-1891,-2905,-1145,76,-2705,-1650,7,7
-1409,-1202,-3120,-2760,-2588,-2473,-2974,-116,-76,-2315,-2150,8,7
-1006,-2537,390,-2849,-2381,48,-1022,-70,-383,-1615,-1150,12,7
-1236,-2092,-1429,-2715,-2664,-2085,-2698,-116,-742,-1693,-1950,27,7
-1294,-1157,-2210,-2849,-2674,-3055,-3020,-397,230,-953,-1150,89,7
-373,-2359,-195,-3027,-2772,-2473,-2836,-23,-793,-1342,-1350,143,7
1466,-2448,1560,-2493,-2349,-2473,-2744,1098,-895,-1537,-850,145,7
1466,-2448,1560,-2493,-2349,-2473,-2744,1098,-895,-1537,-850,146,7
-2904,-1647,-2990,-2938,-2794,-1503,-953,-2034,844,-2121,550,162,7
2732,-2849,-390,-2671,-2566,-2376,-2836,1379,-1561,-1264,-2450,170,7
2732,-2849,-390,-2671,-2566,-2376,-2836,1379,-1561,-1264,-2450,171,7
-143,-2404,-195,-2493,-2457,-1988,-2629,1239,-76,-1420,-1150,183,7
-776,-2003,-1170,-1157,-2436,-2376,-2308,958,25,-1537,-1150,198,7
-1466,-2582,1170,-2092,504,-2861,-3158,70,-639,-330,-1750,200,7
-776,-2003,-1170,-1157,-2436,-2376,-2308,958,25,-1537,-1150,201,7
-891,-1469,-2665,-2537,-2392,-1406,-2262,257,-179,-1187,-1050,206,7
-891,-1469,-2665,-2537,-2392,-1406,-2262,257,-179,-1187,-1050,208,7
-258,-845,-715,-2226,-2479,-1309,-2032,865,-25,-1770,-150,227,7
776,-1424,1040,-2025,-2067,-2764,-3066,350,-1663,-1654,-150,232,7
-1351,-890,-3185,-2537,-2533,-1697,-2515,-350,-179,-1654,50,236,7
949,-690,195,-2136,-1991,-2667,-2905,1005,-1049,-1264,550,237,7
1294,-2537,260,-2626,-2490,-2182,-2721,1239,-1356,758,-1850,240,7
143,-1914,1040,-2337,-2121,-2182,-2721,-23,-690,-1615,50,252,7
949,-1869,1040,-2270,-2197,-2376,-2859,1379,-1151,-1226,-1250,253,7
1466,-1046,1040,-1068,-2479,-2667,-2423,2314,-1561,-1693,-1650,259,7
1466,-1046,1040,-1068,-2479,-2667,-2423,2314,-1561,-1693,-1650,260,7
-488,-2582,195,-2582,-2577,-2764,-2974,-397,-895,-136,350,262,7
-488,-2582,195,-2582,-2577,-2764,-2974,-397,-895,-136,350,266,7
1006,-2136,1690,-1780,-2664,-2667,-2515,1379,-793,-2199,1350,274,7
1006,-2047,1040,-2315,-2371,-2182,-2698,1192,-998,-2082,-850,283,7
-201,-2003,195,-667,-2327,-2764,-2951,724,-537,-1342,50,287,7
-2099,-44,-3055,-2626,-2739,-242,-2285,-865,742,-2354,650,294,7
143,-2715,-195,-2715,-2664,-2764,-2836,350,-1151,-1031,-650,296,7
-2099,-44,-3055,-2626,-2739,-242,-2285,-865,742,-2354,650,297,7
143,-2715,-195,-2715,-2664,-2764,-2836,350,-1151,-1031,-650,302,7
3077,-734,1690,-2003,-2295,-2764,-2400,2782,-2175,-1887,-450,311,7
-2847,-1246,-3185,-2893,-2794,-2861,-2767,-1706,998,-1264,850,312,7
86,-2315,845,-2404,-2468,-2861,-2882,1285,-588,-1654,-450,319,7
-603,-1958,0,-2537,-2783,-2182,-2813,-865,-179,-1459,1650,345,7
-776,-2003,65,-2493,-2815,-2085,-2767,-958,-281,-1031,1750,346,7
86,-1825,1495,-734,-2577,339,-1642,911,-1049,-1226,350,355,7
86,-1825,1495,-734,-2577,339,-1642,911,-1049,-1226,350,356,7
143,-2715,-520,-2849,-2544,-2764,-2882,257,-844,-447,-850,357,7
-28,-1602,845,-2359,-2598,-2376,-2790,-116,-1100,-1498,850,358,7
86,-2715,-260,-2849,-2566,-2764,-2905,257,-639,-564,-850,359,7
1754,-2493,1625,-2404,-2468,-1115,-2400,724,-1714,-1887,-250,361,7
143,-1513,910,-2582,-2219,-2764,-3043,116,-1458,-1965,150,364,7
